topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,1;1,1;1",1,512,50000,175.401,175.37,475.2,133.357,20.8236,125.38,8.05,0,211341,0.99,155996160,2035204096,10604000,82382848
"2;16,32;1,8;1,1;1",8,512,50000,175.805,175.78,474.1,124.492,20.673,116.45,8.03,0,207842,0.99,157163520,2036543488,10608000,83816448
"2;16,32;1,10;1,1;1",10,512,50000,175.326,175.3,475.4,128.87,21.1089,120.98,7.92,0,211538,0.99,156737536,2035986432,10600000,83132416
"2;16,32;1,12;1,1;1",12,512,50000,176.243,176.22,472.9,124.071,20.6708,116.03,8.07,0,223325,0.99,155656192,2035060736,10608000,80859136
"2;16,32;1,7;1,1;1",7,512,50000,175.429,175.4,475.1,123.646,20.1465,115.8,7.9,0,175488,0.99,156229632,2035621888,10612000,83357696
"2;16,32;1,2;1,1;1",2,512,50000,175.189,175.16,475.8,124.738,20.1989,117.07,7.72,0,131522,0.99,155717632,2034999296,10608000,81145856
"2;16,32;1,4;1,1;1",4,512,50000,175.671,175.64,474.5,128.591,20.7255,120.54,8.05,0,120239,0.99,156372992,2035621888,10600000,86237184
"2;16,32;1,9;1,1;1",9,512,50000,174.902,174.87,476.6,126.034,20.149,117.8,8.33,0,118817,0.99,155648000,2035113984,10600000,86413312
"2;16,32;1,13;1,1;1",13,512,50000,175.484,175.46,475.0,127.193,20.5139,119.46,7.82,0,125622,0.99,153911296,2033160192,10596000,85086208
"2;16,32;1,11;1,1;1",11,512,50000,175.465,175.44,475.0,128.17,20.7583,120.31,7.94,0,115570,0.99,155156480,2034458624,10604000,86265856
"2;16,32;1,5;1,1;1",5,512,50000,175.46,175.43,475.0,127.444,20.3568,119.81,7.69,0,130108,0.99,156880896,2036088832,10612000,85192704
