topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,6;1,1;1",6,512,50000,3323.68,3323.63,25.07,317.087,34.3382,301.84,15.11,0,224917,0.99,158896128,2038284288,10616000,83935232
"2;16,32;1,2;1,1;1",2,512,50000,4468.35,4468.31,18.65,665.964,42.5215,647.5,18.06,0,238234,0.99,157487104,2036862976,10600000,81383424
"2;16,32;1,12;1,1;1",12,512,50000,2979.81,2979.77,27.97,231.911,31.9042,218.23,13.76,0,166518,0.99,157868032,2037190656,10608000,82927616
"2;16,32;1,11;1,1;1",11,512,50000,2967.45,2967.41,28.08,240.747,32.7681,227.28,13.48,0,167764,0.99,157175808,2036510720,10604000,84684800
"2;16,32;1,7;1,1;1",7,512,50000,3261.3,3261.25,25.55,313.273,34.7941,299.0,14.32,0,198755,0.99,158339072,2037731328,10620000,84459520
"2;16,32;1,16;1,1;1",16,512,50000,2670.85,2670.81,31.2,184.742,28.6086,173.66,11.16,0,145570,0.99,157245440,2036502528,10608000,85352448
"2;16,32;1,9;1,1;1",9,512,50000,3089.99,3089.95,26.97,267.755,33.9826,254.1,13.68,0,181556,0.99,157556736,2036932608,10604000,84946944
"2;16,32;1,8;1,1;1",8,512,50000,2967.1,2967.05,28.09,222.802,31.9816,209.32,13.51,0,157229,0.99,157593600,2036961280,10616000,86495232
"2;16,32;1,5;1,1;1",5,512,50000,3726.71,3726.66,22.36,527.838,38.376,511.36,16.41,0,228525,0.99,159891456,2039148544,10608000,84738048
"2;16,32;1,3;1,1;1",3,512,50000,4174.25,4174.21,19.96,646.207,41.589,626.93,19.2,0,237308,0.99,158810112,2038169600,10608000,81944576
"2;16,32;1,13;1,1;1",13,512,50000,2972.94,2972.9,28.03,241.739,33.1591,227.63,14.12,0,168680,0.99,158044160,2037379072,10604000,84037632
"2;16,32;1,15;1,1;1",15,512,50000,3034.15,3034.11,27.47,236.622,33.1693,222.56,14.1,0,167427,0.99,157765632,2037157888,10612000,84078592
"2;16,32;1,14;1,1;1",14,512,50000,2946.04,2946.0,28.29,228.421,32.8327,215.32,13.16,0,162983,0.99,157810688,2037198848,10612000,85250048
"2;16,32;1,4;1,1;1",4,512,50000,3429.37,3429.33,24.3,301.468,34.9351,286.43,15.06,0,193885,0.99,158343168,2037743616,10608000,88289280
"2;16,32;1,1;1,1;1",1,512,50000,7827.21,7827.17,10.65,695.363,48.4742,673.22,21.95,0,238749,0.99,164311040,2043691008,10632000,87568384
"2;16,32;1,10;1,1;1",10,512,50000,3010.3,3010.25,27.68,251.59,33.351,237.58,14.02,0,169536,0.99,158162944,2037604352,10608000,85815296
"2;16,32;1,11;1,1;1",11,512,50000,2968.34,2968.3,28.08,242.127,32.8814,228.7,13.5,0,167566,0.99,157495296,2036813824,10608000,85303296
"2;16,32;1,4;1,1;1",4,512,50000,3439.46,3439.41,24.23,297.18,34.649,283.28,13.97,0,195395,0.99,159297536,2038616064,10616000,84262912
"2;16,32;1,6;1,1;1",6,512,50000,3328.95,3328.91,25.03,325.559,35.9402,310.92,14.64,0,206491,0.99,158806016,2038128640,10608000,84312064
"2;16,32;1,10;1,1;1",10,512,50000,3017.54,3017.5,27.62,251.577,33.6394,237.77,13.84,0,168619,0.99,157200384,2036563968,10604000,83628032
"2;16,32;1,15;1,1;1",15,512,50000,3037.13,3037.08,27.44,235.25,33.3111,220.96,14.23,0,168592,0.99,158134272,2037428224,10616000,85389312
"2;16,32;1,9;1,1;1",9,512,50000,3091.31,3091.26,26.96,269.333,33.5864,254.94,14.41,0,180822,0.99,158040064,2037424128,10612000,84779008
"2;16,32;1,5;1,1;1",5,512,50000,3716.71,3716.67,22.42,522.57,37.6084,507.24,15.26,0,229260,0.99,159784960,2039107584,10620000,84910080
"2;16,32;1,8;1,1;1",8,512,50000,2961.56,2961.51,28.14,219.806,31.571,207.1,12.71,0,150857,0.99,158339072,2037592064,10612000,86982656
"2;16,32;1,12;1,1;1",12,512,50000,2969.94,2969.89,28.06,232.628,31.7328,220.06,12.62,0,165048,0.99,158310400,2037633024,10612000,84639744
"2;16,32;1,1;1,1;1",1,512,50000,7777.93,7777.89,10.71,694.301,48.5527,673.42,20.78,0,238880,0.99,163893248,2043215872,10620000,87425024
