topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,5;1,1;1",5,512,50000,6878.76,6878.71,12.12,1604.2,46.9136,1582.41,21.34,0,237925,0.99,159870976,2039279616,10608000,85192704
"2;16,32;1,3;1,1;1",3,512,50000,8991.74,8991.69,9.268,1567.2,49.3208,1543.98,22.82,0,238641,0.99,159096832,2038505472,10620000,78254080
"2;16,32;1,13;1,1;1",13,512,50000,4688.11,4688.07,17.78,405.263,39.4484,388.09,17.18,0,229651,0.99,158679040,2038013952,10600000,78368768
"2;16,32;1,8;1,1;1",8,512,50000,5238.63,5238.58,15.91,1402.91,42.7362,1383.93,18.66,0,237624,0.99,158502912,2037809152,10616000,80375808
"2;16,32;1,7;1,1;1",7,512,50000,5766.73,5766.69,14.45,1482.16,43.6853,1462.58,19.27,0,237393,0.99,158101504,2037346304,10604000,77484032
"2;16,32;1,10;1,1;1",10,512,50000,4868.43,4868.38,17.12,1064.1,40.9068,1045.34,18.41,0,236939,0.99,159342592,2038726656,10616000,77606912
"2;16,32;1,1;1,1;1",1,512,50000,19128.2,19128.11,4.357,1315.32,63.9525,1285.59,29.49,0,237988,0.99,160493568,2039836672,10616000,79110144
"2;16,32;1,11;1,1;1",11,512,50000,4788.01,4787.97,17.41,792.415,40.9416,774.07,18.18,0,236487,0.99,158863360,2038095872,10612000,76840960
"2;16,32;1,4;1,1;1",4,512,50000,7613.79,7613.75,10.95,1604.32,47.5514,1582.3,21.7,0,237595,0.99,158543872,2037927936,10612000,77312000
"2;16,32;1,14;1,1;1",14,512,50000,4307.7,4307.65,19.35,333.81,38.4132,318.03,15.78,0,208391,0.99,158945280,2038284288,10608000,78770176
"2;16,32;1,2;1,1;1",2,512,50000,11293.7,11293.66,7.379,1510.0,53.3694,1485.26,24.37,0,237334,0.99,157691904,2037161984,10608000,78405632
"2;16,32;1,16;1,1;1",16,512,50000,4106.02,4105.97,20.3,269.346,37.525,253.56,15.85,0,179837,0.99,160124928,2039361536,10616000,82944000
"2;16,32;1,15;1,1;1",15,512,50000,4299.71,4299.67,19.38,295.846,38.2048,279.85,16.05,0,193511,0.99,159625216,2038931456,10604000,81588224
"2;16,32;1,6;1,1;1",6,512,50000,6300.13,6300.08,13.23,1544.59,46.1522,1522.41,21.75,0,237675,0.99,158941184,2038325248,10616000,77889536
"2;16,32;1,9;1,1;1",9,512,50000,5027.58,5027.54,16.58,1258.45,41.9307,1239.84,18.37,0,237447,0.99,158228480,2037469184,10600000,78000128
"2;16,32;1,12;1,1;1",12,512,50000,4609.21,4609.16,18.08,579.998,40.179,562.76,17.2,0,236617,0.99,159686656,2038935552,10608000,82006016
"2;16,32;1,9;1,1;1",9,512,50000,5196.52,5196.47,16.04,1165.79,42.4416,1146.87,18.68,0,237409,0.99,158347264,2037575680,10612000,77774848
"2;16,32;1,3;1,1;1",3,512,50000,8613.24,8613.19,9.676,1631.63,49.5893,1608.77,22.45,0,237638,0.99,158859264,2038108160,10612000,78413824
"2;16,32;1,16;1,1;1",16,512,50000,4312.83,4312.79,19.32,275.202,38.2404,259.07,16.19,0,179613,0.99,158720000,2038026240,10608000,80584704
"2;16,32;1,8;1,1;1",8,512,50000,5452.98,5452.93,15.28,1285.94,42.6177,1266.74,18.94,0,237538,0.99,158457856,2037792768,10612000,78450688
"2;16,32;1,5;1,1;1",5,512,50000,6600.37,6600.32,12.63,1641.67,46.034,1620.68,20.62,0,237934,0.99,160059392,2039296000,10616000,81682432
"2;16,32;1,10;1,1;1",10,512,50000,5090.21,5090.16,16.37,960.059,41.5324,941.54,18.33,0,235122,0.99,159367168,2038702080,10616000,77889536
"2;16,32;1,4;1,1;1",4,512,50000,7449.22,7449.17,11.19,1645.55,47.3016,1623.95,21.2,0,237911,0.99,158973952,2038185984,10604000,79364096
"2;16,32;1,6;1,1;1",6,512,50000,6145.98,6145.94,13.56,1586.15,43.8989,1565.53,20.23,0,237544,0.99,158441472,2037747712,10608000,79269888
"2;16,32;1,12;1,1;1",12,512,50000,4675.19,4675.14,17.83,615.341,40.0355,597.49,17.81,0,234557,0.99,159301632,2038677504,10608000,79507456
"2;16,32;1,2;1,1;1",2,512,50000,11285.7,11285.63,7.384,1550.79,54.2255,1525.93,24.57,0,237535,0.99,158355456,2037604352,10608000,78004224
"2;16,32;1,7;1,1;1",7,512,50000,5652.08,5652.03,14.74,1581.56,43.462,1561.8,19.43,0,237511,0.99,157999104,2037383168,10616000,77348864
"2;16,32;1,13;1,1;1",13,512,50000,4546.98,4546.93,18.33,408.58,39.7275,391.47,17.12,0,229468,0.99,159543296,2039013376,10604000,79945728
"2;16,32;1,1;1,1;1",1,512,50000,19259.3,19259.2,4.327,1312.17,64.1589,1283.14,28.85,0,237712,0.99,159240192,2038710272,10608000,79036416
"2;16,32;1,15;1,1;1",15,512,50000,4200.83,4200.78,19.84,295.968,37.6127,279.16,16.86,0,193454,0.99,159780864,2039115776,10612000,83402752
"2;16,32;1,14;1,1;1",14,512,50000,4438.25,4438.2,18.78,352.283,39.4407,335.61,16.66,0,217469,0.99,159223808,2038628352,10612000,82927616
"2;16,32;1,11;1,1;1",11,512,50000,4867.2,4867.16,17.12,810.087,41.4699,791.37,18.58,0,237099,0.99,159207424,2038419456,10608000,78659584
"2;16,32;1,2;1,1;1",2,512,50000,11180.3,11180.24,7.454,1543.01,55.7608,1514.88,27.88,0,237810,0.99,159354880,2038706176,10616000,81035264
"2;16,32;1,12;1,1;1",12,512,50000,4539.86,4539.81,18.36,626.682,39.151,609.23,17.44,0,233086,0.99,158396416,2037788672,10608000,73289728
"2;16,32;1,11;1,1;1",11,512,50000,4692.0,4691.95,17.76,829.374,41.3051,811.59,17.74,0,237411,0.99,158801920,2038104064,10616000,76021760
"2;16,32;1,4;1,1;1",4,512,50000,7235.68,7235.64,11.52,1669.08,46.6069,1647.5,21.37,0,237631,0.99,158679040,2037882880,10608000,76455936
"2;16,32;1,3;1,1;1",3,512,50000,8918.34,8918.29,9.345,1603.69,49.5244,1581.2,22.33,0,237513,0.99,158195712,2037563392,10604000,76316672
"2;16,32;1,8;1,1;1",8,512,50000,5283.3,5283.25,15.77,1346.14,42.2819,1327.2,18.89,0,237809,0.99,159719424,2038886400,10612000,77029376
"2;16,32;1,6;1,1;1",6,512,50000,6261.97,6261.93,13.31,1575.47,44.8072,1555.32,20.01,0,238407,0.99,159358976,2038542336,10608000,78213120
"2;16,32;1,5;1,1;1",5,512,50000,6700.21,6700.16,12.44,1618.24,46.4192,1597.43,20.67,0,237869,0.99,159608832,2039001088,10616000,76103680
"2;16,32;1,9;1,1;1",9,512,50000,5005.42,5005.37,16.65,1311.7,41.4208,1293.33,18.34,0,237303,0.99,157999104,2037178368,10620000,74584064
"2;16,32;1,7;1,1;1",7,512,50000,5938.56,5938.51,14.03,1439.67,46.8732,1417.2,22.3,0,237578,0.99,158695424,2037944320,10604000,78934016
"2;16,32;1,14;1,1;1",14,512,50000,4410.29,4410.24,18.9,344.01,38.7644,327.59,16.5,0,210692,0.99,158228480,2037616640,10604000,76189696
"2;16,32;1,16;1,1;1",16,512,50000,4372.51,4372.47,19.06,274.377,38.199,257.98,16.46,0,181012,0.99,160567296,2039840768,10616000,80052224
"2;16,32;1,10;1,1;1",10,512,50000,4863.43,4863.39,17.14,1026.46,41.0868,1008.63,17.73,0,237139,0.99,158547968,2037800960,10600000,79335424
"2;16,32;1,15;1,1;1",15,512,50000,4251.17,4251.12,19.6,292.81,38.1121,277.24,15.64,0,192452,0.99,159289344,2038566912,10612000,80338944
"2;16,32;1,1;1,1;1",1,512,50000,18756.0,18755.91,4.443,1345.35,63.4915,1316.67,28.58,0,237672,0.99,159207424,2038583296,10612000,77676544
"2;16,32;1,13;1,1;1",13,512,50000,4541.68,4541.64,18.35,434.988,39.7475,418.2,16.83,0,227204,0.99,158625792,2038018048,10608000,80080896
"2;16,32;1,5;1,1;1",5,512,50000,6586.79,6586.75,12.65,1643.28,45.9246,1622.54,20.56,0,237503,0.99,158261248,2037452800,10604000,77275136
"2;16,32;1,14;1,1;1",14,512,50000,4525.79,4525.74,18.41,335.403,38.7129,318.65,16.8,0,209210,0.99,158752768,2037927936,10620000,79417344
"2;16,32;1,4;1,1;1",4,512,50000,7412.24,7412.19,11.24,1635.68,47.6945,1613.84,21.67,0,237684,0.99,159002624,2038353920,10620000,79147008
"2;16,32;1,3;1,1;1",3,512,50000,8670.1,8670.05,9.612,1629.58,49.3937,1606.82,22.54,0,237523,0.99,158609408,2037846016,10608000,79777792
"2;16,32;1,11;1,1;1",11,512,50000,4701.3,4701.25,17.73,807.692,40.5678,789.97,17.52,0,237696,0.99,160002048,2039177216,10616000,77426688
"2;16,32;1,9;1,1;1",9,512,50000,5304.65,5304.6,15.71,1163.81,43.019,1144.87,18.85,0,237778,0.99,159346688,2038714368,10608000,79134720
"2;16,32;1,1;1,1;1",1,512,50000,18535.6,18535.5,4.496,1354.4,63.6406,1324.39,29.89,0,237670,0.99,158932992,2038329344,10608000,79593472
"2;16,32;1,13;1,1;1",13,512,50000,4420.26,4420.21,18.85,424.597,39.3439,408.24,16.43,0,233161,0.99,158216192,2037592064,10608000,79007744
"2;16,32;1,12;1,1;1",12,512,50000,4571.19,4571.15,18.23,555.937,39.1044,539.0,16.98,0,235545,0.99,159379456,2038734848,10616000,75358208
"2;16,32;1,6;1,1;1",6,512,50000,6052.74,6052.7,13.77,1640.93,44.5919,1620.44,20.27,0,237418,0.99,158072832,2037325824,10604000,77307904
"2;16,32;1,15;1,1;1",15,512,50000,4494.98,4494.93,18.54,294.62,38.1738,278.31,16.37,0,194267,0.99,160346112,2039619584,10620000,81264640
"2;16,32;1,8;1,1;1",8,512,50000,5324.02,5323.98,15.65,1363.07,43.4177,1343.45,19.55,0,237665,0.99,159567872,2038734848,10616000,76390400
"2;16,32;1,16;1,1;1",16,512,50000,4375.84,4375.8,19.05,272.095,37.7317,256.26,15.94,0,179917,0.99,160239616,2039566336,10616000,80461824
"2;16,32;1,10;1,1;1",10,512,50000,5101.57,5101.52,16.34,939.833,42.219,920.54,19.15,0,238259,0.99,159973376,2039226368,10604000,78061568
"2;16,32;1,2;1,1;1",2,512,50000,10956.7,10956.67,7.606,1569.62,53.1418,1544.49,24.98,0,239490,0.99,157761536,2036916224,10604000,79245312
"2;16,32;1,7;1,1;1",7,512,50000,6000.58,6000.53,13.89,1425.52,44.2656,1405.44,19.91,0,239373,0.99,159277056,2038616064,10616000,79147008
"2;16,32;1,2;1,1;1",2,512,50000,11258.6,11258.59,7.402,1577.12,55.7934,1549.45,27.36,0,238566,0.99,158773248,2038161408,10624000,97406976
