topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,8;1,1;1",8,512,50000,171.765,171.73,485.3,131.295,20.5984,123.57,7.8,0,136208,0.99,154533888,2033934336,10600000,82944000
"2;16,32;1,15;1,1;1",15,512,50000,172.373,172.34,483.6,126.51,20.5525,118.79,7.78,0,125663,0.99,155201536,2034438144,10612000,78745600
"2;16,32;1,5;1,1;1",5,512,50000,172.752,172.72,482.5,133.444,21.0303,124.66,8.79,0,127488,0.99,154451968,2033852416,10600000,75890688
"2;16,32;1,13;1,1;1",13,512,50000,172.297,172.27,483.8,130.781,20.8097,122.97,7.89,0,129985,0.99,154193920,2033594368,10604000,79683584
"2;16,32;1,4;1,1;1",4,512,50000,171.465,171.44,486.1,130.211,20.4267,122.36,7.95,0,142082,0.99,154611712,2033848320,10604000,78872576
"2;16,32;1,6;1,1;1",6,512,50000,171.933,171.9,484.8,129.557,20.278,121.84,7.82,0,135583,0.99,153812992,2033213440,10596000,81874944
"2;16,32;1,2;1,1;1",2,512,50000,171.441,171.41,486.2,136.567,20.5155,128.53,8.12,0,138266,0.99,154189824,2033422336,10604000,83136512
"2;16,32;1,10;1,1;1",10,512,50000,171.124,171.09,487.1,129.489,20.5697,121.56,8.03,0,146063,0.99,153976832,2033156096,10596000,81252352
"2;16,32;1,12;1,1;1",12,512,50000,172.158,172.13,484.2,128.484,20.82,120.17,8.33,0,123162,0.99,155189248,2034532352,10608000,82513920
"2;16,32;1,9;1,1;1",9,512,50000,171.581,171.55,485.8,127.887,20.59,120.12,7.87,0,123996,0.99,154869760,2034089984,10608000,80510976
"2;16,32;1,3;1,1;1",3,512,50000,171.431,171.4,486.2,134.117,20.5832,125.63,8.49,0,132129,0.99,156798976,2036002816,10612000,81653760
"2;16,32;1,14;1,1;1",14,512,50000,171.912,171.88,484.9,129.534,20.6759,121.58,7.97,0,131450,0.99,154882048,2034135040,10608000,82792448
"2;16,32;1,16;1,1;1",16,512,50000,172.371,172.34,483.6,126.467,20.6835,118.45,8.13,0,121691,0.99,154599424,2033983488,10608000,81207296
"2;16,32;1,7;1,1;1",7,512,50000,171.621,171.59,485.7,132.827,20.9094,124.26,8.56,0,128152,0.99,155455488,2034708480,10612000,81469440
"2;16,32;1,11;1,1;1",11,512,50000,171.368,171.34,486.4,128.14,20.3235,120.13,8.12,0,128350,0.99,154931200,2034294784,10600000,81731584
"2;16,32;1,1;1,1;1",1,512,50000,171.066,171.04,487.3,139.785,20.8153,131.6,8.28,0,138550,0.99,154243072,2033647616,10604000,79360000
"2;16,32;1,6;1,1;1",6,512,50000,171.553,171.52,485.9,127.183,20.2398,119.24,8.05,0,131565,0.99,157167616,2036572160,10612000,83349504
"2;16,32;1,15;1,1;1",15,512,50000,172.432,172.4,483.4,130.911,20.7677,122.5,8.43,0,128024,0.99,154193920,2033623040,10596000,82595840
"2;16,32;1,16;1,1;1",16,512,50000,171.892,171.86,484.9,128.254,20.5009,120.42,7.89,0,128761,0.99,157052928,2036273152,10612000,82939904
"2;16,32;1,2;1,1;1",2,512,50000,171.415,171.38,486.3,135.54,20.7797,127.53,8.1,0,132207,0.99,155676672,2034880512,10608000,79872000
"2;16,32;1,8;1,1;1",8,512,50000,172.082,172.05,484.4,129.33,20.3824,121.05,8.37,0,133343,0.99,155516928,2034946048,10604000,83578880
"2;16,32;1,7;1,1;1",7,512,50000,172.025,172.0,484.5,139.775,21.2895,131.92,7.95,0,140194,0.99,153858048,2033131520,10592000,79896576
"2;16,32;1,1;1,1;1",1,512,50000,170.78,170.75,488.1,141.976,21.0922,133.49,8.6,0,127226,0.99,154140672,2033377280,10604000,79667200
"2;16,32;1,4;1,1;1",4,512,50000,171.481,171.45,486.1,132.045,20.6264,124.05,8.12,0,125325,0.99,154836992,2034180096,10608000,82468864
"2;16,32;1,14;1,1;1",14,512,50000,171.641,171.61,485.6,126.655,20.7006,118.91,7.86,0,132937,0.99,154640384,2034044928,10608000,82296832
"2;16,32;1,5;1,1;1",5,512,50000,172.192,172.16,484.1,131.303,20.4714,123.3,8.11,0,154825,1.0,154869760,2034102272,10604000,81747968
"2;16,32;1,3;1,1;1",3,512,50000,171.647,171.62,485.6,133.789,20.6091,125.43,8.36,0,152256,0.99,153243648,2032529408,10592000,80322560
"2;16,32;1,10;1,1;1",10,512,50000,171.526,171.5,485.9,129.706,20.4741,121.69,8.1,0,133531,0.99,154853376,2034139136,10596000,84893696
"2;16,32;1,13;1,1;1",13,512,50000,171.833,171.8,485.1,126.38,20.4824,118.36,8.14,0,127627,0.99,155844608,2035146752,10612000,84455424
"2;16,32;1,9;1,1;1",9,512,50000,172.217,172.18,484.0,132.53,21.113,123.99,8.64,0,133840,0.99,154775552,2034139136,10600000,82628608
"2;16,32;1,12;1,1;1",12,512,50000,172.084,172.05,484.4,129.669,20.5008,121.79,7.97,0,136101,0.99,155955200,2035228672,10604000,82411520
"2;16,32;1,11;1,1;1",11,512,50000,171.888,171.86,484.9,129.571,20.3777,121.66,8.02,0,136201,0.99,154050560,2033324032,10596000,79323136
"2;16,32;1,4;1,1;1",4,512,50000,171.709,171.68,485.4,131.856,20.8786,123.52,8.43,0,125107,0.99,155185152,2034589696,10604000,78094336
"2;16,32;1,1;1,1;1",1,512,50000,171.25,171.22,486.7,143.876,21.038,135.88,8.06,0,130093,0.99,154992640,2034266112,10600000,82014208
"2;16,32;1,2;1,1;1",2,512,50000,171.49,171.46,486.0,138.883,20.9632,130.18,8.8,0,139021,0.99,153485312,2032664576,10592000,83468288
"2;16,32;1,6;1,1;1",6,512,50000,172.096,172.06,484.3,134.528,20.9757,126.23,8.4,0,140462,0.99,154566656,2033995776,10608000,81321984
"2;16,32;1,15;1,1;1",15,512,50000,171.746,171.72,485.3,130.881,20.7386,122.73,8.26,0,125109,0.99,155385856,2034671616,10604000,84348928
"2;16,32;1,11;1,1;1",11,512,50000,172.162,172.13,484.1,132.021,20.9213,124.1,8.02,0,127954,0.99,154247168,2033487872,10596000,83197952
"2;16,32;1,3;1,1;1",3,512,50000,171.594,171.56,485.7,134.906,20.7578,126.99,8.02,0,135118,0.99,154976256,2034237440,10600000,82526208
"2;16,32;1,12;1,1;1",12,512,50000,171.699,171.67,485.5,130.03,20.8115,122.0,8.12,0,124319,0.99,156545024,2035732480,10608000,86847488
"2;16,32;1,10;1,1;1",10,512,50000,172.107,172.08,484.3,131.84,20.9145,123.86,8.08,0,145403,0.99,154103808,2033397760,10596000,82096128
"2;16,32;1,16;1,1;1",16,512,50000,172.181,172.15,484.1,128.132,20.339,120.12,8.12,0,121361,0.99,155402240,2034642944,10600000,81915904
"2;16,32;1,9;1,1;1",9,512,50000,171.765,171.74,485.3,131.332,20.7732,123.14,8.16,0,131903,0.99,157253632,2036527104,10604000,85524480
"2;16,32;1,8;1,1;1",8,512,50000,171.914,171.88,484.8,134.775,21.1105,126.74,8.12,0,138066,0.99,156053504,2035347456,10600000,83529728
"2;16,32;1,14;1,1;1",14,512,50000,172.204,172.17,484.0,129.127,20.5546,121.02,8.2,0,131451,0.99,155844608,2035118080,10596000,83845120
"2;16,32;1,13;1,1;1",13,512,50000,171.712,171.68,485.4,128.146,20.7455,120.36,7.9,0,118922,0.99,156483584,2035740672,10608000,85561344
"2;16,32;1,5;1,1;1",5,512,50000,172.297,172.27,483.8,136.101,21.3313,127.77,8.43,0,126616,0.99,155770880,2035195904,10604000,84684800
"2;16,32;1,7;1,1;1",7,512,50000,172.061,172.03,484.4,128.515,20.0445,120.56,8.03,0,142284,0.99,154689536,2033930240,10596000,81276928
