topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,10;1,1;1",10,512,50000,175.407,175.38,475.2,125.576,20.8099,117.42,8.22,6,221746,0.99,156672000,2035867648,10608000,85315584
"2;16,32;1,14;1,1;1",14,512,50000,175.511,175.49,474.9,126.722,20.808,118.69,8.12,0,210667,0.99,156430336,2035609600,10604000,84639744
"2;16,32;1,12;1,1;1",12,512,50000,175.254,175.23,475.6,124.511,19.946,116.4,8.15,0,207398,0.99,155373568,2034810880,10600000,81227776
"2;16,32;1,11;1,1;1",11,512,50000,175.353,175.33,475.3,125.204,20.4966,116.76,8.48,0,214961,0.99,155697152,2034974720,10600000,83214336
"2;16,32;1,3;1,1;1",3,512,50000,174.544,174.52,477.5,128.308,20.4265,120.19,8.13,0,160322,0.99,155078656,2034274304,10596000,79663104
"2;16,32;1,1;1,1;1",1,512,50000,175.531,175.5,474.8,129.95,20.0514,122.16,7.89,0,126072,0.99,154083328,2033520640,10596000,80388096
"2;16,32;1,6;1,1;1",6,512,50000,175.583,175.55,474.7,127.275,20.4972,119.01,8.3,0,145233,0.99,154308608,2033487872,10596000,80711680
"2;16,32;1,7;1,1;1",7,512,50000,174.957,174.93,476.4,126.427,20.0923,118.74,7.8,0,149989,0.99,153939968,2033127424,10604000,80080896
"2;16,32;1,9;1,1;1",9,512,50000,175.626,175.6,474.6,126.785,20.4874,118.76,8.09,0,142569,0.99,155820032,2034999296,10608000,80691200
"2;16,32;1,16;1,1;1",16,512,50000,175.073,175.05,476.1,124.745,20.2193,116.83,7.99,0,119120,0.99,155045888,2034483200,10608000,81551360
"2;16,32;1,8;1,1;1",8,512,50000,174.796,174.77,476.8,123.559,20.65,115.62,8.03,0,138766,0.99,156004352,2035372032,10608000,77090816
"2;16,32;1,5;1,1;1",5,512,50000,175.106,175.08,476.0,124.635,20.1035,116.95,7.8,0,115362,0.99,156266496,2035458048,10608000,80625664
"2;16,32;1,13;1,1;1",13,512,50000,175.159,175.13,475.9,124.231,20.2551,116.32,8.0,0,134405,0.99,156856320,2036224000,10604000,83943424
"2;16,32;1,4;1,1;1",4,512,50000,174.664,174.64,477.2,123.511,20.4269,115.58,7.92,0,122263,0.99,155258880,2034626560,10612000,82931712
"2;16,32;1,15;1,1;1",15,512,50000,174.988,174.96,476.3,124.37,20.59,116.41,8.03,0,123308,0.99,156581888,2035961856,10608000,85852160
"2;16,32;1,2;1,1;1",2,512,50000,175.595,175.57,474.7,126.167,19.7498,118.23,8.01,0,143572,0.99,154435584,2033664000,10600000,79654912
