time,size_product,lead_product,ratio,m,n,lead_A,lead_B
0.939842,3380016,10342656,3.0599429115128447,1051,3216,3216,3216
0.078053,1131603,3059001,2.7032457496136013,1749,647,1749,1749
0.044048,967694,5597956,5.784841075794621,2366,409,2366,2366
3.982264,14205729,19918369,1.4021363493559535,4463,3183,4463,4463
1.26748,5933670,6200100,1.0449013848090642,2383,2490,2490,2490
0.443926,1060864,22429696,21.142857142857142,224,4736,4736,4736
4.010293,12776269,13256881,1.0376175548589341,3509,3641,3641,3641
0.265316,2522156,4826809,1.9137630662020906,2197,1148,2197,2197
1.675509,5460642,12159169,2.2266922094508304,1566,3487,3487,3487
1.83769,9837027,22005481,2.2370052455889367,4691,2097,4691,4691
4.657941,13733885,15249025,1.110321296559568,3517,3905,3905,3905
0.212877,1362375,2424249,1.7794285714285714,875,1557,1557,1557
0.67395,1582054,23990404,15.1640866873065,323,4898,4898,4898
1.878663,5013955,19175641,3.8244541484716157,1145,4379,4379,4379
0.250965,2339104,4596736,1.9651695692025664,2144,1091,2144,2144
0.096826,881475,1199025,1.360248447204969,805,1095,1095,1095
4.319228,14636045,21520321,1.4703645007923931,4639,3155,4639,4639
0.285244,2016175,2059225,1.0213523131672597,1405,1435,1435,1435
1.522144,5998176,8020224,1.3371104815864023,2118,2832,2832,2832
9.901155,22909898,24611521,1.074274577739281,4618,4961,4961,4961
1.534956,4865575,12780625,2.6267450404114623,1361,3575,3575,3575
0.244505,2749880,8934121,3.248913043478261,2989,920,2989,2989
0.113355,1513422,4104676,2.712182061579652,2026,747,2026,2026
0.387667,3114894,5230369,1.6791483113069017,2287,1362,2287,2287
0.02276,84188,2621161,31.134615384615383,52,1619,1619,1619
0.228347,1947946,2337841,1.2001569858712715,1529,1274,1529,1529
1.319131,5352408,8088336,1.5111583421891606,1882,2844,2844,2844
1.205215,3100720,20430400,6.588921282798834,686,4520,4520,4520
5.74145,16201107,16916769,1.0441736481340442,3939,4113,4113,4113
5.973683,17022651,17313921,1.0171107308726473,4161,4091,4161,4161
