topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,48,40000,593.1,71.94,60.7548,14.4784,701091840,13509701632
"2;8,8;1,8;1,1",8,40,20000,144.88,36.82,24.5346,6.44959,327905280,3533713408
"2;8,8;1,8;1,1",8,8,30000,1290.99,13.94,13.3982,6.14242,217612288,7422472192
"2;8,8;1,8;1,1",8,56,10000,37.93,17.58,12.9278,2.55716,211193856,1016156160
"2;8,8;1,8;1,1",8,1,30000,9609.94,1.873,3.67895,3.58312,5619712,7209476096
"2;8,8;1,8;1,1",8,64,10000,27.2,24.51,9.96141,2.1066,179879936,984698880
"2;8,8;1,8;1,1",8,32,25000,233.82,44.55,20.4782,5.52517,334909440,5340737536
"2;8,8;1,8;1,1",8,32,5000,8.56,9.736,1.75408,0.410657,72548352,276467712
"2;8,8;1,8;1,1",8,24,35000,780.49,36.62,39.2565,12.9499,394534912,10200797184
"2;8,8;1,8;1,1",8,16,25000,413.91,25.17,15.1243,5.40287,229175296,5234167808
"2;8,8;1,8;1,1",8,16,30000,692.02,26.01,21.7621,7.9629,268738560,7474016256
"2;8,8;1,8;1,1",8,48,35000,413.3,69.16,48.4921,10.9282,619593728,10427621376
"2;8,8;1,8;1,1",8,64,15000,54.37,41.39,17.4343,3.95862,261042176,2066595840
"2;8,8;1,8;1,1",8,64,25000,155.28,67.09,38.4077,8.86339,429817856,5436469248
"2;8,8;1,8;1,1",8,24,15000,92.21,24.4,9.17979,2.45202,177414144,1982083072
"2;8,8;1,8;1,1",8,48,30000,275.38,65.37,36.335,8.3404,516538368,7723909120
"2;8,8;1,8;1,1",8,40,15000,80.12,28.09,15.5602,3.71289,239710208,2044878848
"2;8,8;1,8;1,1",8,56,35000,433.28,65.97,85.3488,22.273,708403200,10516930560
"2;8,8;1,8;1,1",8,48,20000,100.96,52.83,18.4793,4.24852,351748096,3557736448
"2;8,8;1,8;1,1",8,40,35000,539.64,52.97,62.7041,18.0961,553017344,10360418304
"2;8,8;1,8;1,1",8,32,40000,838.85,50.87,47.7841,13.8441,528658432,13336039424
"2;8,8;1,8;1,1",8,40,10000,39.7,16.8,9.17249,2.02134,161906688,966483968
"2;8,8;1,8;1,1",8,32,30000,380.86,47.27,28.5545,8.26923,404873216,7611195392
"2;8,8;1,8;1,1",8,56,20000,125.37,42.55,33.7329,7.85206,415363072,3621814272
"2;8,8;1,8;1,1",8,16,10000,38.61,17.27,3.41219,1.0015,93859840,897847296
"2;8,8;1,8;1,1",8,40,5000,14.96,5.573,3.86274,0.742725,88363008,292433920
"2;8,8;1,8;1,1",8,48,15000,52.97,42.48,12.4754,2.85562,263249920,2068684800
