topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss
"2;8,8;1,8;1,1",8,56,50000,1034.51,80.56,32.3561,4.94206,28.38,2.89,0,450238,0.96,0,0
"2;8,8;1,8;1,1",8,56,600000,1385453.35,103.9,1913.9,161.077,359.59,132.86,0,47900936,0.25,0,0
"2;8,8;1,8;1,1",8,56,450000,587262.19,103.4,841.034,100.536,267.25,79.99,0,27252914,0.41,0,0
"2;8,8;1,8;1,1",8,56,100000,7040.12,94.7,76.1111,11.6215,59.18,7.65,0,1541637,0.87,0,0
"2;8,8;1,8;1,1",8,56,350000,277878.39,102.9,490.782,67.7592,207.58,52.2,0,16712814,0.52,0,0
"2;8,8;1,8;1,1",8,56,400000,413451.81,103.2,647.271,83.3908,237.75,65.19,0,21709005,0.46,0,0
"2;8,8;1,8;1,1",8,56,250000,102384.51,101.7,271.097,40.9727,147.68,29.53,0,8708167,0.65,0,0
"2;8,8;1,8;1,1",8,56,200000,52967.51,100.7,172.493,29.8452,116.64,20.92,0,5667265,0.79,0,0
"2;8,8;1,8;1,1",8,56,500000,804025.44,103.6,1035.47,119.477,298.28,96.72,0,33400856,0.38,0,0
"2;8,8;1,8;1,1",8,56,300000,175772.43,102.4,408.207,53.8158,176.5,40.33,0,12404146,0.53,0,0
"2;8,8;1,8;1,1",8,56,550000,1068511.47,103.8,1565.56,139.543,330.21,114.4,0,40531795,0.28,0,0
