topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,uss,rss
"2;8,8;1,8;1,1",8,48,30000,279.48,64.41,19.072,12.889,12.08,6.68,0,6601272,18956288,7689560064
"2;8,8;1,8;1,1",8,40,30000,369.9,48.67,31.7971,18.9236,21.73,9.82,0,11589634,16244736,7627075584
"2;8,8;1,8;1,1",8,16,40000,1578.37,27.03,24.8272,19.4377,15.08,9.5,0,10831122,8904704,13122576384
"2;8,8;1,8;1,1",8,48,100,0.13,0.005225,0.161541,0.013471,0.04,0.13,0,2053,9383936,13430784
"2;8,8;1,8;1,1",8,32,5000,8.57,9.725,1.37154,0.502335,1.01,0.36,0,184305,14274560,276819968
"2;8,8;1,8;1,1",8,8,15000,176.74,12.73,2.86445,2.20764,1.82,1.02,0,1113011,6152192,1897504768
"2;8,8;1,8;1,1",8,1,30000,9611.13,1.873,4.04012,3.92946,2.63,1.4,0,1883489,4112384,7208869888
"2;8,8;1,8;1,1",8,24,20000,183.56,29.06,10.3626,6.11153,7.02,3.28,0,3520256,11022336,3408949248
"2;8,8;1,8;1,1",8,64,10000,27.58,24.18,6.35636,2.47532,4.95,1.4,0,1134302,20844544,983339008
"2;8,8;1,8;1,1",8,8,5000,9.62,8.666,0.475778,0.25986,0.33,0.14,0,126179,6115328,238391296
"2;8,8;1,8;1,1",8,32,10000,28.4,23.48,3.04578,1.50552,2.18,0.85,0,716909,12218368,934023168
"2;8,8;1,8;1,1",8,16,25000,418.14,24.91,10.9254,7.66792,7.04,3.76,0,4239414,8728576,5206331392
"2;8,8;1,8;1,1",8,40,100,0.23,0.003017,0.18535,0.0157558,0.07,0.12,0,1978,5574656,9695232
"2;8,8;1,8;1,1",8,16,5000,9.52,8.753,1.05262,0.406963,0.82,0.23,0,174267,8519680,251502592
"2;8,8;1,8;1,1",8,24,30000,518.14,34.74,20.0037,13.4768,13.01,6.83,0,7906412,11276288,7505727488
"2;8,8;1,8;1,1",8,1,5000,45.36,1.838,0.135212,0.117206,0.08,0.05,0,54245,4079616,208474112
"2;8,8;1,8;1,1",8,64,100,0.17,0.003908,0.229187,0.0202956,0.06,0.18,0,2512,18952192,25010176
"2;8,8;1,8;1,1",8,32,100,0.12,0.005584,0.113089,0.010326,0.02,0.09,0,1659,9637888,13733888
"2;8,8;1,8;1,1",8,56,35000,437.44,65.35,59.3451,34.9778,39.36,18.73,0,21424443,24080384,10437443584
"2;8,8;1,8;1,1",8,1,40000,22758.7,1.875,6.77113,6.5899,4.18,2.54,0,3344170,4132864,12808982528
"2;8,8;1,8;1,1",8,64,25000,157.04,66.34,22.5188,12.5561,15.3,7.03,0,6968307,21569536,5415526400
"2;8,8;1,8;1,1",8,56,10000,38.34,17.39,9.84802,3.44602,7.93,1.89,0,1698815,20611072,999628800
"2;8,8;1,8;1,1",8,40,35000,543.93,52.55,42.9359,26.6208,27.86,14.14,0,16103524,16756736,10294677504
"2;8,8;1,8;1,1",8,56,100,0.24,0.002883,0.240461,0.0237708,0.07,0.18,0,2441,18194432,22282240
"2;8,8;1,8;1,1",8,40,20000,145.57,36.64,17.6756,9.09596,12.66,4.9,0,5165197,16130048,3491311616
"2;8,8;1,8;1,1",8,40,5000,14.91,5.592,3.1092,0.862586,2.47,0.63,0,332713,15794176,288210944
"2;8,8;1,8;1,1",8,48,40000,599.13,71.22,30.8725,22.4632,18.24,12.08,0,11708719,17399808,13442424832
"2;8,8;1,8;1,1",8,16,10000,39.51,16.88,2.55954,1.32007,1.87,0.67,0,684147,8572928,889221120
"2;8,8;1,8;1,1",8,64,15000,54.76,41.09,10.7772,4.96917,7.94,2.78,0,2525644,25137152,2064994304
"2;8,8;1,8;1,1",8,56,30000,302.93,59.43,43.0451,24.5018,29.08,13.46,0,15621729,21815296,7748186112
"2;8,8;1,8;1,1",8,56,15000,73.94,30.43,15.4763,6.66838,11.94,3.51,0,3829204,21057536,2086928384
"2;8,8;1,8;1,1",8,56,5000,14.96,5.571,4.11811,1.02671,3.46,0.65,0,412932,20570112,312631296
"2;8,8;1,8;1,1",8,48,25000,175.62,59.32,14.03,9.0299,9.01,4.82,0,4594435,18722816,5412192256
"2;8,8;1,8;1,1",8,48,15000,53.87,41.77,6.67847,3.83786,4.69,1.94,0,1668112,18337792,2057302016
"2;8,8;1,8;1,1",8,56,25000,201.87,51.61,32.0982,17.1625,22.72,9.22,0,10633882,25800704,5465100288
"2;8,8;1,8;1,1",8,32,35000,584.57,48.9,21.9794,16.0905,13.51,8.18,0,8633288,12947456,10224312320
"2;8,8;1,8;1,1",8,32,30000,384.97,46.76,16.9809,11.9952,10.73,6.03,0,6350950,12591104,7566376960
"2;8,8;1,8;1,1",8,24,5000,13.02,6.405,1.60711,0.530927,1.27,0.32,0,224989,10719232,263708672
"2;8,8;1,8;1,1",8,24,100,0.17,0.003949,0.103471,0.00887153,0.02,0.08,0,1532,8196096,12275712
"2;8,8;1,8;1,1",8,24,25000,321.26,32.43,14.7051,9.38639,9.69,4.88,0,5492533,11141120,5257359360
"2;8,8;1,8;1,1",8,64,30000,241.68,74.48,32.7532,19.6756,22.42,9.67,0,10057139,23789568,7695282176
"2;8,8;1,8;1,1",8,32,25000,237.98,43.77,14.2132,9.3128,9.41,4.6,0,4416514,14888960,5310251008
"2;8,8;1,8;1,1",8,1,100,0.0,0.2554,0.00782413,0.00189416,0.0,0.0,0,868,0,0
"2;8,8;1,8;1,1",8,40,10000,39.91,16.71,7.09308,2.73244,5.6,1.45,0,1304413,15560704,956047360
"2;8,8;1,8;1,1",8,8,10000,57.42,11.61,1.36121,0.953732,0.87,0.48,0,496873,6098944,868593664
"2;8,8;1,8;1,1",8,64,20000,96.68,55.17,16.5547,8.43851,11.79,4.58,0,4470056,23257088,3540299776
"2;8,8;1,8;1,1",8,64,5000,10.44,7.983,3.35183,0.91963,2.57,0.73,0,293463,22966272,306364416
"2;8,8;1,8;1,1",8,1,35000,15254.46,1.874,5.67882,5.41876,3.66,1.89,0,2561760,4087808,9808941056
"2;8,8;1,8;1,1",8,32,40000,846.65,50.4,29.5549,21.8551,17.8,11.12,0,11269270,13250560,13282471936
"2;8,8;1,8;1,1",8,48,35000,418.69,68.27,24.8398,17.4514,15.26,9.1,0,8973109,16949248,10364919808
"2;8,8;1,8;1,1",8,48,10000,24.07,27.71,3.64657,1.70951,2.67,0.97,0,749747,16097280,977629184
"2;8,8;1,8;1,1",8,16,100,0.08,0.008272,0.0947598,0.00781689,0.03,0.04,0,1312,7733248,13295616
"2;8,8;1,8;1,1",8,1,15000,1206.0,1.866,1.06941,1.01348,0.72,0.34,0,473525,4149248,1808625664
"2;8,8;1,8;1,1",8,8,20000,400.44,13.32,4.71641,3.83366,2.88,1.79,0,1974993,6168576,3326496768
"2;8,8;1,8;1,1",8,40,25000,239.57,43.48,24.7399,13.7927,17.18,7.35,0,8059082,16314368,5359075328
"2;8,8;1,8;1,1",8,1,10000,358.47,1.86,0.478194,0.437473,0.31,0.16,0,211813,4083712,808538112
"2;8,8;1,8;1,1",8,40,40000,767.23,55.61,53.6291,34.8025,33.85,18.56,0,21087369,16801792,13362434048
"2;8,8;1,8;1,1",8,16,35000,1077.7,26.52,19.7885,15.0689,12.16,7.39,0,8293007,8900608,10083835904
"2;8,8;1,8;1,1",8,8,25000,761.23,13.69,6.81724,5.69795,4.04,2.71,0,3082481,6074368,5155463168
"2;8,8;1,8;1,1",8,16,30000,696.32,25.85,14.7412,10.8837,9.28,5.32,0,6099106,10887168,7447154688
"2;8,8;1,8;1,1",8,32,15000,67.89,33.15,5.79439,3.49714,4.11,1.65,0,1599697,12423168,1992077312
"2;8,8;1,8;1,1",8,1,25000,5567.13,1.871,3.01701,2.92076,2.03,0.97,0,1309145,4096000,5008703488
"2;8,8;1,8;1,1",8,48,5000,8.0,10.43,1.56266,0.551846,1.23,0.34,0,194206,15982592,300163072
"2;8,8;1,8;1,1",8,24,35000,783.87,36.47,25.8754,18.1786,16.32,9.31,0,10749854,11337728,10154110976
"2;8,8;1,8;1,1",8,64,40000,492.91,86.57,52.3428,32.809,33.22,17.46,0,18167521,22417408,13447974912
"2;8,8;1,8;1,1",8,8,30000,1296.69,13.88,10.8981,9.18804,6.37,4.26,0,4435264,6287360,7384588288
"2;8,8;1,8;1,1",8,24,10000,40.72,16.38,3.80324,1.70198,2.81,0.99,0,886483,10883072,911097856
"2;8,8;1,8;1,1",8,24,40000,1130.29,37.75,32.717,23.2905,20.14,11.79,0,14070057,11448320,13202472960
"2;8,8;1,8;1,1",8,40,15000,80.95,27.8,11.167,5.13275,8.3,2.84,0,2915065,20148224,2027823104
