topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,uss,rss
"2;8,8;1,8;1,1",8,16,10000,37.75,17.67,1.32101,0.244364,1.12,0.2,0,35522,9891840,891695104
"2;8,8;1,8;1,1",8,8,30000,1278.82,14.08,1.63865,0.553906,1.23,0.4,0,171904,11649024,7389511680
"2;8,8;1,8;1,1",8,32,80000,6057.86,56.35,15.5146,4.4425,11.92,3.4,0,1001984,12824576,52147793920
"2;8,8;1,8;1,1",8,8,20000,393.18,13.57,0.975746,0.316101,0.69,0.27,0,89673,7512064,3327340544
"2;8,8;1,8;1,1",8,24,70000,5453.2,41.93,17.3205,3.93854,14.09,3.08,0,790214,11030528,39893643264
"2;8,8;1,8;1,1",8,1,20000,2846.68,1.874,0.781751,0.729013,0.39,0.39,0,465005,5828608,3209609216
"2;8,8;1,8;1,1",8,40,90000,7061.96,68.82,44.84,8.48484,36.89,6.12,0,1261432,16220160,66042363904
"2;8,8;1,8;1,1",8,40,70000,3441.53,66.45,33.9921,6.10654,28.67,4.26,0,803168,16465920,40171569152
"2;8,8;1,8;1,1",8,16,90000,16719.24,29.07,14.666,4.58519,10.89,3.64,0,1237924,9474048,65510739968
"2;8,8;1,8;1,1",8,16,100000,22845.81,29.18,16.8973,5.43099,12.19,4.5,0,1495037,9457664,80788135936
"2;8,8;1,8;1,1",8,1,50000,44392.94,1.877,4.87869,4.71423,1.98,2.85,0,2821880,5668864,20010016768
"2;8,8;1,8;1,1",8,8,10000,55.62,11.99,0.449343,0.117964,0.34,0.11,0,32404,7462912,869191680
"2;8,8;1,8;1,1",8,56,100,0.23,0.002924,0.25532,0.0229149,0.11,0.15,0,2241,20021248,28327936
"2;8,8;1,8;1,1",8,40,30000,355.74,50.6,13.4089,2.15545,11.78,1.6,0,189308,20471808,7633514496
"2;8,8;1,8;1,1",8,24,90000,11359.57,42.78,22.3472,5.50967,17.82,4.3,0,1247307,13221888,65689489408
"2;8,8;1,8;1,1",8,40,40000,741.05,57.58,18.012,2.97185,16.12,1.88,0,303819,16715776,13365268480
"2;8,8;1,8;1,1",8,8,40000,2977.78,14.33,2.2967,0.88196,1.57,0.72,0,281919,7733248,13043707904
"2;8,8;1,8;1,1",8,16,80000,11799.92,28.93,12.8854,3.81789,9.65,3.11,0,993991,11571200,51835392000
"2;8,8;1,8;1,1",8,64,10000,26.57,25.09,4.3164,0.682793,3.82,0.5,0,40735,21442560,985407488
"2;8,8;1,8;1,1",8,48,90000,5824.49,83.44,20.83,5.77748,16.37,4.29,0,1256045,16228352,66217271296
"2;8,8;1,8;1,1",8,8,60000,9881.54,14.57,3.8419,1.72552,2.3,1.48,0,577854,7520256,29159641088
"2;8,8;1,8;1,1",8,64,30000,231.64,77.71,12.694,2.23856,11.31,1.37,0,191548,22130688,7695847424
"2;8,8;1,8;1,1",8,8,90000,32991.11,14.73,7.20467,3.54883,3.91,3.16,0,1216388,7667712,65333964800
"2;8,8;1,8;1,1",8,48,10000,23.02,28.97,2.12995,0.392919,1.84,0.28,0,38561,16801792,978735104
"2;8,8;1,8;1,1",8,64,90000,4459.71,109.0,42.8694,8.73941,35.32,5.65,0,1264218,21639168,66224242688
"2;8,8;1,8;1,1",8,24,30000,502.36,35.83,6.85644,1.22876,6.04,0.79,0,185344,11866112,7507345408
"2;8,8;1,8;1,1",8,64,80000,3184.46,107.2,38.3033,7.62261,31.86,5.0,0,1022396,21360640,52469526528
"2;8,8;1,8;1,1",8,56,70000,2574.29,88.83,48.0593,7.83156,42.03,4.8,0,810418,21356544,40448835584
"2;8,8;1,8;1,1",8,56,60000,1686.24,85.4,40.2141,6.42461,35.33,4.1,0,618864,25460736,29878788096
"2;8,8;1,8;1,1",8,24,10000,38.98,17.11,2.20253,0.346192,1.98,0.22,0,36900,12128256,913838080
"2;8,8;1,8;1,1",8,48,20000,98.49,54.16,4.09437,0.820854,3.44,0.63,0,99826,17104896,3534090240
"2;8,8;1,8;1,1",8,64,70000,2181.38,104.8,30.7538,6.25849,26.58,4.07,0,802776,21843968,40314978304
"2;8,8;1,8;1,1",8,48,100,0.14,0.00494,0.165008,0.0131208,0.04,0.12,0,1886,6578176,10014720
"2;8,8;1,8;1,1",8,1,30000,9597.58,1.876,1.80954,1.71813,0.79,1.0,0,1029582,5734400,7209754624
"2;8,8;1,8;1,1",8,32,70000,4104.7,55.71,13.1089,3.58794,10.4,2.6,0,790198,13246464,40032104448
"2;8,8;1,8;1,1",8,1,70000,121767.99,1.878,9.67397,9.36599,3.99,5.54,0,5499175,5820416,39210401792
"2;8,8;1,8;1,1",8,56,10000,36.95,18.05,6.35931,0.875368,5.78,0.59,0,43022,23449600,1005441024
"2;8,8;1,8;1,1",8,32,90000,8551.94,56.83,17.5593,5.17508,13.21,4.15,0,1248884,12787712,65863933952
"2;8,8;1,8;1,1",8,1,40000,22736.44,1.877,3.04773,2.94587,1.36,1.68,0,1801039,5693440,12809777152
"2;8,8;1,8;1,1",8,56,40000,581.51,73.38,26.0398,3.97855,23.72,2.3,0,308383,23302144,13528170496
"2;8,8;1,8;1,1",8,16,60000,5056.58,28.48,8.87501,2.3987,6.9,1.88,0,594739,11341824,29280337920
"2;8,8;1,8;1,1",8,48,70000,2816.91,81.18,16.0032,4.1097,12.96,2.92,0,792830,19173376,40310398976
"2;8,8;1,8;1,1",8,56,90000,5213.7,93.22,64.3783,10.8681,54.6,7.3,0,1276324,21422080,66397282304
"2;8,8;1,8;1,1",8,64,50000,860.98,96.79,21.9884,4.09685,19.3,2.64,0,445205,21417984,20804886528
"2;8,8;1,8;1,1",8,64,100000,6039.8,110.4,47.7716,10.0664,38.82,6.83,0,1534429,21196800,81579036672
"2;8,8;1,8;1,1",8,8,100,0.03,0.01975,0.0414299,0.00408406,0.02,0.02,0,1083,0,0
"2;8,8;1,8;1,1",8,48,50000,1084.07,76.87,10.9181,2.62529,9.03,1.83,0,438281,16990208,20798476288
"2;8,8;1,8;1,1",8,40,50000,1348.33,61.81,22.9276,3.93002,20.34,2.55,0,443561,16527360,20700528640
