topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,24,25000,319.37,32.62,25.8119,8.08671,55365632,5274730496
"2;8,8;1,8;1,1",8,24,5000,13.03,6.399,2.72733,0.613171,14643200,257220608
"2;8,8;1,8;1,1",8,24,35000,781.76,36.57,49.3234,16.0733,74350592,10180751360
"2;8,8;1,8;1,1",8,40,100,0.23,0.003028,0.0779319,0.0196671,0,0
"2;8,8;1,8;1,1",8,1,35000,15257.68,1.873,5.86863,5.71562,4775936,9809465344
"2;8,8;1,8;1,1",8,64,40000,488.99,87.26,111.729,29.3046,95391744,13475909632
"2;8,8;1,8;1,1",8,24,10000,40.18,16.6,6.22743,1.62839,26472448,915062784
"2;8,8;1,8;1,1",8,40,40000,762.07,55.99,100.313,28.3857,91209728,13396500480
"2;8,8;1,8;1,1",8,32,5000,8.51,9.794,2.19067,0.573064,18415616,275640320
"2;8,8;1,8;1,1",8,16,5000,9.44,8.834,1.51646,0.429874,13242368,246767616
"2;8,8;1,8;1,1",8,56,25000,200.8,51.88,59.5926,14.8672,60547072,5468012544
"2;8,8;1,8;1,1",8,56,35000,433.67,65.92,105.135,27.3232,79241216,10457370624
"2;8,8;1,8;1,1",8,48,20000,101.0,52.81,25.3105,6.64305,52580352,3539619840
"2;8,8;1,8;1,1",8,32,10000,27.86,23.93,5.78765,1.55976,31096832,938954752
"2;8,8;1,8;1,1",8,1,30000,9611.2,1.873,3.91487,3.78894,4853760,7209414656
"2;8,8;1,8;1,1",8,8,30000,1292.56,13.93,17.2938,7.77396,63152128,7411167232
"2;8,8;1,8;1,1",8,64,25000,156.22,66.69,49.0239,12.4332,66940928,5431382016
"2;8,8;1,8;1,1",8,24,30000,514.3,35.0,37.0126,11.4837,65634304,7528837120
"2;8,8;1,8;1,1",8,48,5000,7.95,10.49,2.8168,0.729758,20873216,299581440
"2;8,8;1,8;1,1",8,32,30000,382.61,47.05,39.6036,12.058,66297856,7587139584
"2;8,8;1,8;1,1",8,8,40000,3001.24,14.22,30.2356,13.8573,82505728,13079560192
"2;8,8;1,8;1,1",8,16,20000,225.37,23.67,12.9576,4.36808,45109248,3382067200
"2;8,8;1,8;1,1",8,64,30000,240.44,74.87,70.1737,19.1244,74272768,7713161216
"2;8,8;1,8;1,1",8,8,35000,2026.07,14.11,22.2937,9.90874,73125888,10046525440
"2;8,8;1,8;1,1",8,16,25000,414.69,25.12,18.7218,6.48151,54923264,5226336256
"2;8,8;1,8;1,1",8,64,5000,10.47,7.963,4.59694,1.02778,20680704,293507072
"2;8,8;1,8;1,1",8,24,100,0.17,0.00391,0.041728,0.0119489,0,0
"2;8,8;1,8;1,1",8,56,30000,302.93,59.42,82.6834,20.9687,68292608,7760846848
"2;8,8;1,8;1,1",8,40,10000,39.77,16.77,10.7261,2.51451,21250048,941395968
"2;8,8;1,8;1,1",8,64,15000,54.46,41.32,22.6201,5.49617,41488384,2060271616
"2;8,8;1,8;1,1",8,40,25000,237.98,43.78,45.4789,12.0273,58122240,5373513728
"2;8,8;1,8;1,1",8,24,15000,92.37,24.36,11.5574,3.20625,34160640,1958174720
"2;8,8;1,8;1,1",8,24,40000,1125.57,37.91,61.5066,20.1987,88772608,13241094144
"2;8,8;1,8;1,1",8,40,35000,541.11,52.83,77.2123,21.8047,76521472,10316718080
"2;8,8;1,8;1,1",8,16,40000,1573.15,27.12,45.8543,17.1648,86413312,13154140160
"2;8,8;1,8;1,1",8,1,25000,5565.15,1.872,2.55867,2.47834,4775936,5009321984
"2;8,8;1,8;1,1",8,48,30000,275.96,65.23,49.8494,13.1733,69332992,7704432640
"2;8,8;1,8;1,1",8,16,30000,692.85,25.98,26.8876,9.67045,64983040,7471923200
"2;8,8;1,8;1,1",8,64,35000,349.25,81.85,89.5924,23.4374,80932864,10388922368
"2;8,8;1,8;1,1",8,32,100,0.13,0.00529,0.0419555,0.0136486,0,0
"2;8,8;1,8;1,1",8,40,20000,145.54,36.65,32.3009,8.21284,50946048,3504103424
"2;8,8;1,8;1,1",8,1,5000,45.3,1.84,0.120273,0.104125,4796416,208973824
"2;8,8;1,8;1,1",8,16,10000,38.69,17.24,4.25006,1.26186,24657920,895741952
"2;8,8;1,8;1,1",8,56,5000,15.04,5.542,6.58358,1.22767,18870272,310120448
"2;8,8;1,8;1,1",8,8,10000,56.9,11.72,2.35895,0.909666,24502272,875614208
"2;8,8;1,8;1,1",8,32,25000,234.57,44.41,29.0308,8.15642,57778176,5323440128
"2;8,8;1,8;1,1",8,56,10000,38.07,17.52,14.6115,3.14633,27897856,988319744
"2;8,8;1,8;1,1",8,32,35000,580.58,49.24,52.9789,15.8988,75894784,10248130560
"2;8,8;1,8;1,1",8,56,20000,125.84,42.39,43.0099,10.1233,48181248,3578339328
"2;8,8;1,8;1,1",8,56,100,0.24,0.002888,0.113452,0.0276788,10985472,15646720
"2;8,8;1,8;1,1",8,48,10000,23.62,28.24,8.12328,2.00211,33042432,989777920
"2;8,8;1,8;1,1",8,8,15000,175.68,12.81,4.72381,1.99893,34172928,1909387264
"2;8,8;1,8;1,1",8,1,100,0.0,0.3122,0.00296779,0.00107849,0,0
"2;8,8;1,8;1,1",8,40,15000,80.57,27.93,18.8962,4.65784,41222144,2022887424
"2;8,8;1,8;1,1",8,16,100,0.08,0.008059,0.0281023,0.00776843,0,0
"2;8,8;1,8;1,1",8,56,40000,603.42,70.71,136.774,35.844,91709440,13549023232
"2;8,8;1,8;1,1",8,24,20000,181.8,29.34,18.4766,5.45253,45985792,3423002624
"2;8,8;1,8;1,1",8,1,10000,358.38,1.861,0.420924,0.389163,4771840,809140224
"2;8,8;1,8;1,1",8,40,5000,14.97,5.571,4.32612,0.918891,12496896,273362944
"2;8,8;1,8;1,1",8,1,40000,22758.24,1.875,6.41792,6.26739,4796416,12809535488
"2;8,8;1,8;1,1",8,48,35000,415.27,68.84,68.455,18.8529,82661376,10389856256
"2;8,8;1,8;1,1",8,16,15000,106.59,21.11,8.38343,3.01549,34324480,1935765504
"2;8,8;1,8;1,1",8,32,20000,132.93,40.12,18.6868,5.38776,50622464,3464331264
"2;8,8;1,8;1,1",8,8,20000,398.6,13.38,8.12781,3.47993,44060672,3346530304
"2;8,8;1,8;1,1",8,1,15000,1205.29,1.867,0.915713,0.864918,4911104,1809285120
"2;8,8;1,8;1,1",8,64,10000,27.43,24.31,11.5033,2.80208,30601216,978911232
"2;8,8;1,8;1,1",8,56,15000,73.47,30.63,25.9932,6.08925,35897344,2069123072
"2;8,8;1,8;1,1",8,1,20000,2852.08,1.87,1.60155,1.53704,4890624,3209428992
"2;8,8;1,8;1,1",8,64,100,0.18,0.003747,0.0962875,0.0277205,12070912,16678912
"2;8,8;1,8;1,1",8,40,30000,368.64,48.83,57.8998,16.1497,68194304,7647215616
"2;8,8;1,8;1,1",8,64,20000,95.46,55.88,34.1973,8.18003,59588608,3550191616
"2;8,8;1,8;1,1",8,48,15000,53.12,42.36,15.8239,4.24578,43950080,2059546624
"2;8,8;1,8;1,1",8,16,35000,1073.16,26.64,35.5784,12.974,73854976,10114228224
"2;8,8;1,8;1,1",8,48,100,0.13,0.005276,0.0546859,0.018389,0,0
"2;8,8;1,8;1,1",8,48,40000,594.76,71.74,87.4863,24.0927,99975168,13482524672
"2;8,8;1,8;1,1",8,8,100,0.03,0.01974,0.0111635,0.00369652,0,0
"2;8,8;1,8;1,1",8,32,40000,839.97,50.8,66.8907,20.135,86032384,13313073152
"2;8,8;1,8;1,1",8,48,25000,173.55,60.03,36.9803,9.6514,64372736,5428756480
"2;8,8;1,8;1,1",8,8,5000,9.53,8.75,0.739707,0.266194,11833344,236318720
"2;8,8;1,8;1,1",8,32,15000,67.12,33.53,11.9428,3.62324,40042496,2003480576
"2;8,8;1,8;1,1",8,8,25000,758.18,13.74,11.3485,4.87266,53760000,5178114048
