topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,64,5000,10.62,7.848,3.80531,0.961129,10743808,295067648
"2;8,8;1,8;1,1",8,48,25000,175.83,59.25,17.9611,9.13868,12247040,5404385280
"2;8,8;1,8;1,1",8,48,10000,24.09,27.68,4.35117,1.76401,11235328,971894784
"2;8,8;1,8;1,1",8,32,35000,585.01,48.86,28.1705,16.2059,9351168,10219630592
"2;8,8;1,8;1,1",8,8,40000,3000.68,14.22,16.6989,13.1939,6610944,13042294784
"2;8,8;1,8;1,1",8,16,100,0.08,0.008048,0.0263181,0.00636301,0,0
"2;8,8;1,8;1,1",8,8,25000,761.25,13.68,7.23655,5.53257,6639616,5155258368
"2;8,8;1,8;1,1",8,24,100,0.18,0.003863,0.0414837,0.00973973,0,0
"2;8,8;1,8;1,1",8,1,35000,15251.59,1.874,4.86529,4.73259,5750784,9809809408
"2;8,8;1,8;1,1",8,32,20000,134.57,39.64,10.7476,5.50858,8855552,3445436416
"2;8,8;1,8;1,1",8,48,100,0.14,0.004796,0.0509481,0.0146824,0,0
"2;8,8;1,8;1,1",8,48,30000,279.71,64.36,24.4149,12.9915,12468224,7681781760
"2;8,8;1,8;1,1",8,32,100,0.12,0.005709,0.0391224,0.0105306,0,0
"2;8,8;1,8;1,1",8,24,20000,183.82,29.02,12.9163,6.24969,8564736,3405606912
"2;8,8;1,8;1,1",8,1,30000,9610.1,1.873,3.70689,3.61072,5750784,7209844736
"2;8,8;1,8;1,1",8,16,10000,39.53,16.87,3.03431,1.36083,7450624,888451072
"2;8,8;1,8;1,1",8,24,5000,13.08,6.376,1.8976,0.554754,8179712,259117056
"2;8,8;1,8;1,1",8,56,25000,202.32,51.49,47.0138,18.5941,13443072,5451870208
"2;8,8;1,8;1,1",8,24,35000,784.08,36.46,33.7526,18.2856,8871936,10150690816
"2;8,8;1,8;1,1",8,16,25000,418.29,24.91,13.1462,7.59649,7630848,5204455424
"2;8,8;1,8;1,1",8,64,40000,493.32,86.49,74.3196,32.4554,12734464,13437124608
"2;8,8;1,8;1,1",8,64,100,0.18,0.003708,0.136312,0.029295,10727424,19562496
"2;8,8;1,8;1,1",8,32,15000,67.76,33.21,7.14791,3.605,8282112,1986330624
"2;8,8;1,8;1,1",8,56,100,0.24,0.002898,0.107296,0.0221182,12570624,20832256
"2;8,8;1,8;1,1",8,24,30000,518.45,34.72,25.7659,13.5344,8724480,7502278656
"2;8,8;1,8;1,1",8,64,30000,241.85,74.43,45.4767,20.2615,12070912,7682363392
"2;8,8;1,8;1,1",8,64,20000,96.85,55.07,23.0704,8.90796,11407360,3527544832
"2;8,8;1,8;1,1",8,8,100,0.03,0.01984,0.0107711,0.00302437,0,0
"2;8,8;1,8;1,1",8,16,40000,1577.17,27.05,30.3366,18.8544,8179712,13120835584
"2;8,8;1,8;1,1",8,16,20000,227.33,23.46,8.97078,4.95495,7618560,3365744640
"2;8,8;1,8;1,1",8,1,25000,5566.65,1.871,2.80105,2.72046,5750784,5009649664
"2;8,8;1,8;1,1",8,48,35000,418.66,68.28,32.0355,17.4914,10526720,10357108736
"2;8,8;1,8;1,1",8,48,15000,54.0,41.67,8.24963,3.9465,9523200,2046734336
