topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,40,25000,239.64,43.47,25.3997,13.7886,18280448,5360062464
"2;8,8;1,8;1,1",8,40,15000,81.37,27.65,12.4206,5.42893,24166400,2030780416
"2;8,8;1,8;1,1",8,56,15000,73.93,30.44,16.5058,6.90723,22851584,2087747584
"2;8,8;1,8;1,1",8,40,30000,370.24,48.62,34.667,19.7491,18460672,7627935744
"2;8,8;1,8;1,1",8,32,25000,237.76,43.82,14.0803,9.05321,16637952,5311254528
"2;8,8;1,8;1,1",8,24,40000,1131.48,37.71,36.1894,24.945,13344768,13203369984
"2;8,8;1,8;1,1",8,32,15000,67.85,33.17,6.10714,3.55323,14274560,1993052160
"2;8,8;1,8;1,1",8,64,15000,55.05,40.88,11.877,5.24941,25010176,2061025280
"2;8,8;1,8;1,1",8,56,30000,303.23,59.37,46.1875,25.5752,24051712,7749201920
"2;8,8;1,8;1,1",8,24,35000,784.59,36.43,27.6133,18.9064,13230080,10155048960
"2;8,8;1,8;1,1",8,24,20000,183.52,29.06,10.8353,6.21782,12824576,3409776640
"2;8,8;1,8;1,1",8,64,10000,27.46,24.28,6.78432,2.55155,24596480,986411008
"2;8,8;1,8;1,1",8,8,25000,762.27,13.67,7.06276,5.87187,7921664,5156433920
"2;8,8;1,8;1,1",8,56,20000,126.79,42.07,25.5747,11.9129,25210880,3577139200
"2;8,8;1,8;1,1",8,1,100,0.0,0.4291,0.00547279,0.00107763,0,0
"2;8,8;1,8;1,1",8,40,20000,145.91,36.56,19.5005,9.59625,18038784,3492327424
"2;8,8;1,8;1,1",8,32,10000,28.36,23.51,3.43467,1.61653,14028800,934965248
"2;8,8;1,8;1,1",8,24,25000,321.76,32.38,17.1124,10.1926,13049856,5258162176
"2;8,8;1,8;1,1",8,16,40000,1577.21,27.05,24.9659,19.0621,10743808,13123543040
"2;8,8;1,8;1,1",8,64,30000,242.0,74.39,33.9351,20.0461,23953408,7694147584
"2;8,8;1,8;1,1",8,1,5000,45.28,1.841,0.118951,0.100164,5709824,209371136
"2;8,8;1,8;1,1",8,48,25000,175.85,59.24,15.1798,9.42757,18694144,5410979840
"2;8,8;1,8;1,1",8,48,20000,102.47,52.05,10.5448,6.12289,18546688,3533529088
"2;8,8;1,8;1,1",8,56,25000,201.89,51.6,36.8183,18.5479,25780224,5464084480
"2;8,8;1,8;1,1",8,1,10000,358.57,1.86,0.463298,0.423266,5816320,809492480
"2;8,8;1,8;1,1",8,40,5000,14.92,5.588,3.07407,0.833785,17551360,289067008
"2;8,8;1,8;1,1",8,64,20000,96.9,55.05,17.2557,8.60395,28131328,3543293952
"2;8,8;1,8;1,1",8,48,15000,54.0,41.67,7.04638,3.90206,18419712,2056192000
"2;8,8;1,8;1,1",8,56,5000,15.0,5.557,4.26368,1.04323,21995520,313454592
"2;8,8;1,8;1,1",8,56,100,0.23,0.002932,0.266254,0.0192377,9875456,13275136
"2;8,8;1,8;1,1",8,16,15000,107.11,21.01,5.1837,3.20044,10383360,1929211904
"2;8,8;1,8;1,1",8,32,20000,134.39,39.69,9.05052,5.52542,14397440,3451088896
"2;8,8;1,8;1,1",8,1,20000,2853.34,1.869,1.8174,1.7465,5783552,3209588736
"2;8,8;1,8;1,1",8,16,35000,1077.89,26.52,20.2691,14.9903,10555392,10084761600
"2;8,8;1,8;1,1",8,16,5000,9.52,8.756,1.06503,0.39279,10289152,252674048
"2;8,8;1,8;1,1",8,32,5000,8.63,9.662,1.38141,0.485448,15814656,277504000
"2;8,8;1,8;1,1",8,1,30000,9610.87,1.873,3.88331,3.73909,5820416,7209816064
"2;8,8;1,8;1,1",8,48,35000,418.46,68.31,25.2615,17.3573,19210240,10365865984
"2;8,8;1,8;1,1",8,40,100,0.23,0.003014,0.195717,0.0141783,14921728,21073920
"2;8,8;1,8;1,1",8,40,35000,543.75,52.57,43.0007,26.3745,18907136,10295824384
"2;8,8;1,8;1,1",8,64,5000,10.44,7.988,3.01208,0.845596,22544384,306868224
"2;8,8;1,8;1,1",8,56,35000,436.61,65.47,59.134,34.3239,24395776,10436280320
"2;8,8;1,8;1,1",8,64,100,0.18,0.003801,0.27757,0.0191387,9408512,12779520
"2;8,8;1,8;1,1",8,8,30000,1295.47,13.9,10.1082,8.45486,7974912,7385485312
"2;8,8;1,8;1,1",8,1,25000,5567.22,1.871,2.91538,2.81331,5722112,5009604608
"2;8,8;1,8;1,1",8,16,10000,39.49,16.89,2.71596,1.36394,10350592,890216448
"2;8,8;1,8;1,1",8,16,100,0.08,0.008514,0.0767274,0.005559,0,0
