topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,48,20000,106.01,50.31,511.075,495.986,3577233408,3581669376
"2;8,8;1,8;1,1",8,32,10000,29.04,22.96,70.0801,66.5615,955187200,959639552
"2;8,8;1,8;1,1",8,24,5000,13.34,6.251,11.4785,9.8995,263688192,268128256
"2;8,8;1,8;1,1",8,64,15000,56.32,39.96,234.035,221.105,2089537536,2093862912
"2;8,8;1,8;1,1",8,64,10000,28.29,23.57,77.4176,70.0089,998440960,1002885120
"2;8,8;1,8;1,1",8,24,15000,94.43,23.83,220.658,214.472,1974161408,1978527744
"2;8,8;1,8;1,1",8,32,100,0.12,0.005505,0.0408054,0.0106648,0,0
"2;8,8;1,8;1,1",8,40,20000,149.19,35.75,526.868,509.639,3534286848,3538636800
"2;8,8;1,8;1,1",8,16,20000,232.99,22.89,505.206,498.187,3383787520,3388149760
"2;8,8;1,8;1,1",8,1,100,0.0,0.3119,0.0027856,0.00107685,0,0
"2;8,8;1,8;1,1",8,56,20000,132.77,40.17,547.351,523.367,3620777984,3625127936
"2;8,8;1,8;1,1",8,8,20000,424.55,12.56,509.161,505.779,3382427648,3386773504
"2;8,8;1,8;1,1",8,56,15000,76.76,29.32,245.736,229.297,2122911744,2127347712
"2;8,8;1,8;1,1",8,24,20000,185.54,28.75,506.719,497.201,3432251392,3436593152
"2;8,8;1,8;1,1",8,24,10000,41.1,16.22,70.7745,67.184,918564864,923004928
"2;8,8;1,8;1,1",8,64,100,0.18,0.003765,0.0872953,0.0216603,13864960,18251776
"2;8,8;1,8;1,1",8,64,5000,10.72,7.777,13.849,10.6751,308752384,313098240
"2;8,8;1,8;1,1",8,8,10000,59.78,11.15,66.2708,65.1211,891379712,895795200
"2;8,8;1,8;1,1",8,8,5000,9.97,8.362,9.25906,8.8678,248012800,252432384
"2;8,8;1,8;1,1",8,8,100,0.04,0.01945,0.0114396,0.00344611,0,0
"2;8,8;1,8;1,1",8,40,100,0.23,0.002987,0.0970747,0.0190144,7847936,12255232
"2;8,8;1,8;1,1",8,32,15000,69.37,32.44,220.664,214.165,2025439232,2029858816
"2;8,8;1,8;1,1",8,1,20000,2846.95,1.874,475.839,475.588,3224674304,3229097984
"2;8,8;1,8;1,1",8,32,5000,8.67,9.62,10.7383,9.40255,279592960,283996160
"2;8,8;1,8;1,1",8,48,10000,24.56,27.15,71.269,66.4387,993968128,998391808
"2;8,8;1,8;1,1",8,40,10000,41.16,16.2,77.6973,70.8853,972148736,976564224
"2;8,8;1,8;1,1",8,64,20000,100.52,53.06,533.448,513.78,3582541824,3586891776
"2;8,8;1,8;1,1",8,56,10000,40.62,16.42,86.6092,76.2202,1022066688,1026437120
"2;8,8;1,8;1,1",8,48,100,0.14,0.004812,0.0789134,0.0171949,0,0
"2;8,8;1,8;1,1",8,40,5000,15.56,5.358,14.222,11.1321,293818368,298164224
"2;8,8;1,8;1,1",8,1,15000,1221.93,1.842,206.832,206.598,1819926528,1824256000
"2;8,8;1,8;1,1",8,16,10000,39.91,16.71,68.914,66.5765,893714432,898138112
"2;8,8;1,8;1,1",8,56,100,0.23,0.002902,0.113639,0.0245291,8683520,13103104
"2;8,8;1,8;1,1",8,40,15000,85.15,26.43,237.31,225.804,2043703296,2048049152
"2;8,8;1,8;1,1",8,16,15000,109.3,20.59,218.198,213.863,1943785472,1948155904
"2;8,8;1,8;1,1",8,8,15000,188.18,11.96,218.636,216.563,1939460096,1943805952
"2;8,8;1,8;1,1",8,16,100,0.09,0.007822,0.0379175,0.00826345,0,0
"2;8,8;1,8;1,1",8,48,15000,55.36,40.65,222.067,212.8,2086064128,2090418176
"2;8,8;1,8;1,1",8,1,10000,364.19,1.831,63.1794,63.1329,815026176,819396608
"2;8,8;1,8;1,1",8,16,5000,9.58,8.701,10.3135,9.38009,253878272,258297856
"2;8,8;1,8;1,1",8,56,5000,15.55,5.361,16.5499,12.0739,313290752,317620224
"2;8,8;1,8;1,1",8,24,100,0.18,0.003809,0.0704083,0.0129986,0,0
"2;8,8;1,8;1,1",8,48,5000,8.15,10.22,11.3982,9.56188,301346816,305790976
"2;8,8;1,8;1,1",8,32,20000,141.64,37.66,517.248,506.599,3497938944,3502366720
"2;8,8;1,8;1,1",8,1,5000,46.63,1.788,8.62008,8.61593,210190336,214609920
