topology,nb_roots,nb_proc,size,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(platform_taurus_hpl.xml),-1,108,20000,16.61,321.1,42418.933622,28957.568823,13461.364799,84.9055,6.97475,81.92,3.02,0,116138,1.0,49025024,3668758528,7936000,42913792
file(platform_taurus_hpl.xml),-1,120,20000,16.0,333.3,42372.506469,31255.489482,11117.016987,90.9573,7.53529,88.15,2.82,0,118865,0.99,49750016,3690115072,8068000,42258432
file(platform_taurus_hpl.xml),-1,72,20000,20.27,263.2,46713.148325,23282.990774,23430.157552,64.6013,5.31386,62.07,2.55,0,114728,0.99,39993344,3597639680,7508000,35307520
file(platform_taurus_hpl.xml),-1,144,20000,15.25,349.7,43000.805337,35932.579368,7068.225969,106.768,8.38392,102.79,3.94,0,125374,0.99,57126912,3738476544,8356000,45297664
file(platform_taurus_hpl.xml),-1,12,20000,65.21,81.79,124914.601197,13544.056229,111370.544968,30.149,2.8796,28.85,1.3,0,98147,1.0,11907072,3447545856,6752000,17453056
file(platform_taurus_hpl.xml),-1,168,20000,13.97,381.9,42177.296091,38939.048821,3238.24727,128.831,10.2451,124.53,4.3,0,132250,0.99,57245696,3780038656,8632000,42258432
file(platform_taurus_hpl.xml),-1,24,20000,37.83,141.0,76429.396141,15346.258259,61083.137882,37.824,3.37028,36.15,1.62,0,134978,0.99,14409728,3489742848,6920000,15171584
file(platform_taurus_hpl.xml),-1,156,20000,14.45,369.1,42272.425317,37248.05786,5024.367458,119.464,9.52388,115.45,4.05,0,141471,1.0,52817920,3754807296,8480000,39096320
file(platform_taurus_hpl.xml),-1,192,20000,13.26,402.2,42478.237026,42478.237026,0.0,139.764,11.7319,134.81,4.94,0,148262,0.99,63496192,3827568640,8904000,44023808
file(platform_taurus_hpl.xml),-1,84,20000,18.76,284.4,44835.287834,25308.742988,19526.544846,72.2274,6.21511,69.37,2.84,0,137458,0.99,40419328,3618701312,7648000,37466112
file(platform_taurus_hpl.xml),-1,48,20000,25.05,213.0,54257.080248,19543.43163,34713.648618,51.6315,4.4075,49.54,2.05,0,179308,0.99,31641600,3548237824,7212000,33173504
file(platform_taurus_hpl.xml),-1,60,20000,22.3,239.2,49747.20571,21405.092574,28342.113136,59.0171,4.87577,56.66,2.32,0,178556,0.99,35020800,3572195328,7368000,38285312
file(platform_taurus_hpl.xml),-1,96,20000,17.73,300.8,43783.999648,27369.593431,16414.406217,79.5968,6.58885,76.55,3.04,0,133815,0.99,47013888,3645841408,7800000,42655744
file(platform_taurus_hpl.xml),-1,36,20000,29.19,182.7,61230.648617,17422.068939,43808.579678,43.96,3.77811,41.89,2.04,0,183770,0.99,23900160,3519799296,7072000,23298048
file(platform_taurus_hpl.xml),-1,132,20000,15.37,347.1,42016.797891,33116.653381,8900.14451,102.444,8.43353,98.8,3.62,0,147079,0.99,51724288,3712761856,8208000,42926080
file(platform_taurus_hpl.xml),-1,180,20000,13.62,391.5,42377.867786,40798.426178,1579.441608,137.484,11.2088,132.8,4.68,0,150684,0.99,61009920,3804401664,8772000,46915584
