topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(big_taurus.xml),-1,36,20000,30.1593,29.1,183.3,895605.445049,18119.549935,877485.895113,78.7944,36.9641,75.3,3.3,6,1776182,0.99,19808256,3515662336,7080000,20561920
file(big_taurus.xml),-1,96,20000,18.3018,17.74,300.6,550323.655421,28355.314564,521968.340857,112.792,39.6143,108.4,4.22,0,1703441,0.99,49127424,3647832064,7800000,32997376
file(big_taurus.xml),-1,84,20000,19.3383,18.76,284.3,579954.715781,26202.358642,553752.357139,108.695,39.3924,104.34,4.17,0,1696303,0.99,44716032,3623129088,7656000,28852224
file(big_taurus.xml),-1,180,20000,13.9192,13.59,392.5,426942.428489,41171.789809,385770.638679,170.824,44.0772,164.76,5.91,0,1723751,0.99,65171456,3808456704,8776000,36708352
file(big_taurus.xml),-1,24,20000,39.1212,37.6,141.9,1158603.627211,15874.531615,1142729.095596,71.1887,36.2582,68.03,2.96,0,1688593,0.99,20332544,3495649280,6928000,7053312
file(big_taurus.xml),-1,144,20000,15.6433,15.27,349.4,475412.695862,36462.553031,438950.142831,143.131,41.7232,138.34,4.59,0,1707171,0.99,60350464,3741622272,8360000,33894400
file(big_taurus.xml),-1,192,20000,13.6579,13.35,399.7,420125.005779,43166.287491,376958.718288,182.787,45.2401,176.01,6.53,0,1742153,0.99,67960832,3831939072,8920000,35110912
file(big_taurus.xml),-1,108,20000,17.0982,16.65,320.4,515595.731832,29920.61058,485675.121252,122.981,40.3665,118.37,4.41,0,1697394,0.99,51499008,3671302144,7932000,34123776
file(big_taurus.xml),-1,156,20000,14.823,14.45,369.0,451966.112023,37736.623462,414229.48856,155.345,42.8669,149.7,5.46,0,1729765,0.99,57810944,3759927296,8492000,33714176
file(big_taurus.xml),-1,132,20000,15.7889,15.37,346.9,478709.64786,33857.961334,444851.686526,141.181,41.9984,136.02,4.96,0,1715660,0.99,54865920,3715948544,8216000,35557376
file(big_taurus.xml),-1,12,20000,65.4029,62.3,85.61,1931500.771858,13560.496741,1917940.275117,64.7408,36.1987,61.96,2.6,0,1660192,0.99,13885440,3449585664,6756000,10022912
file(big_taurus.xml),-1,48,20000,25.896,25.06,212.8,770840.757481,20373.852089,750466.905392,85.492,37.3306,81.83,3.48,0,1749059,0.99,32382976,3548938240,7228000,20791296
file(big_taurus.xml),-1,72,20000,20.9161,20.31,262.6,625593.889437,24256.500824,601337.388613,98.1413,38.5605,94.25,3.68,0,1724057,0.99,43569152,3601068032,7516000,30978048
file(big_taurus.xml),-1,60,20000,23.0177,22.31,239.0,686676.630436,22269.954124,664406.676312,93.4455,37.9214,89.7,3.57,0,1740581,0.99,39403520,3576455168,7380000,27922432
file(big_taurus.xml),-1,168,20000,14.3317,14.0,381.0,438325.904079,39473.793196,398852.110882,165.555,43.6933,159.52,5.86,0,1706416,0.99,61599744,3784224768,8640000,39161856
file(big_taurus.xml),-1,120,20000,16.4516,16.04,332.6,497448.416048,32032.352326,465416.063721,129.645,41.0062,124.87,4.58,0,1704381,0.99,51920896,3692392448,8076000,33476608
