file,line,rank,size
/hpl-2.2/src/grid/hpl_reduce.c,127,0,4
/hpl-2.2/src/grid/hpl_reduce.c,127,1,4
/hpl-2.2/src/grid/hpl_reduce.c,127,2,4
/hpl-2.2/src/grid/hpl_reduce.c,127,3,4
/hpl-2.2/src/grid/hpl_reduce.c,127,4,4
/hpl-2.2/src/grid/hpl_reduce.c,127,5,4
/hpl-2.2/src/grid/hpl_reduce.c,127,6,4
/hpl-2.2/src/grid/hpl_reduce.c,127,7,4
/hpl-2.2/src/grid/hpl_reduce.c,127,8,4
/hpl-2.2/src/grid/hpl_reduce.c,127,9,4
/hpl-2.2/src/grid/hpl_reduce.c,127,10,4
/hpl-2.2/src/grid/hpl_reduce.c,127,11,4
/hpl-2.2/src/grid/hpl_reduce.c,127,12,4
/hpl-2.2/src/grid/hpl_reduce.c,127,13,4
/hpl-2.2/src/grid/hpl_reduce.c,127,14,4
/hpl-2.2/src/grid/hpl_reduce.c,127,15,4
/hpl-2.2/src/grid/hpl_reduce.c,130,0,8
/hpl-2.2/src/grid/hpl_reduce.c,130,1,8
/hpl-2.2/src/grid/hpl_reduce.c,130,2,8
/hpl-2.2/src/grid/hpl_reduce.c,130,3,8
/hpl-2.2/src/grid/hpl_reduce.c,130,4,8
/hpl-2.2/src/grid/hpl_reduce.c,130,8,8
/hpl-2.2/src/grid/hpl_reduce.c,130,5,8
/hpl-2.2/src/grid/hpl_reduce.c,130,6,8
/hpl-2.2/src/grid/hpl_reduce.c,130,9,8
/hpl-2.2/src/grid/hpl_reduce.c,130,10,8
/hpl-2.2/src/grid/hpl_reduce.c,130,12,8
/hpl-2.2/src/grid/hpl_reduce.c,130,7,8
/hpl-2.2/src/grid/hpl_reduce.c,130,11,8
/hpl-2.2/src/grid/hpl_reduce.c,130,13,8
/hpl-2.2/src/grid/hpl_reduce.c,130,14,8
/hpl-2.2/src/grid/hpl_reduce.c,130,15,8
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,0,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,0,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,1,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,2,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,3,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,1,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,2,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,4,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,8,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,3,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,5,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,9,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,6,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,10,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,12,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,7,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,11,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,4,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,8,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,13,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,14,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,6,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,5,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,10,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,9,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,641,15,60
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,7,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,11,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,12,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,13,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,14,64
/hpl-2.2/testing/ptest/hpl_pdinfo.c,667,15,64
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,0,203293512
/hpl-2.2/src/grid/hpl_reduce.c,127,0,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,3,198454152
/hpl-2.2/src/grid/hpl_reduce.c,127,3,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,2,201680392
/hpl-2.2/src/grid/hpl_reduce.c,127,2,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,1,203293512
/hpl-2.2/src/grid/hpl_reduce.c,127,1,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,6,201680392
/hpl-2.2/src/grid/hpl_reduce.c,127,6,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,13,198454152
/hpl-2.2/src/grid/hpl_reduce.c,127,13,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,4,203293512
/hpl-2.2/src/grid/hpl_reduce.c,127,4,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,9,201680392
/hpl-2.2/src/grid/hpl_reduce.c,127,9,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,14,196879432
/hpl-2.2/src/grid/hpl_reduce.c,127,14,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,8,201680392
/hpl-2.2/src/grid/hpl_reduce.c,127,8,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,15,193729992
/hpl-2.2/src/grid/hpl_reduce.c,127,15,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,7,198454152
/hpl-2.2/src/grid/hpl_reduce.c,127,7,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,11,196879432
/hpl-2.2/src/grid/hpl_reduce.c,127,11,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,12,198454152
/hpl-2.2/src/grid/hpl_reduce.c,127,12,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,5,203293512
/hpl-2.2/src/grid/hpl_reduce.c,127,5,12
/hpl-2.2/testing/ptest/hpl_pdtest.c,166,10,200080072
/hpl-2.2/src/grid/hpl_reduce.c,127,10,12
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,0,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,0,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,0,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,0,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,0,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,0,5344
/hpl-2.2/src/pfact/hpl_pdfact.c,123,0,3968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,2,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,2,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,2,9640392
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,2,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,2,9640392
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,2,5344
/hpl-2.2/src/comm/hpl_packl.c,137,2,968
/hpl-2.2/src/comm/hpl_packl.c,138,2,484
/hpl-2.2/src/comm/hpl_packl.c,139,2,968
/hpl-2.2/src/comm/hpl_packl.c,140,2,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,1,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,1,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,1,9677832
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,1,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,1,9677832
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,1,5344
/hpl-2.2/src/comm/hpl_packl.c,137,1,968
/hpl-2.2/src/comm/hpl_packl.c,138,1,484
/hpl-2.2/src/comm/hpl_packl.c,139,1,968
/hpl-2.2/src/comm/hpl_packl.c,140,1,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,8,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,8,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,8,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,8,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,8,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,8,5344
/hpl-2.2/src/pfact/hpl_pdfact.c,123,8,3968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,3,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,3,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,3,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,3,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,3,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,3,5344
/hpl-2.2/src/comm/hpl_packl.c,137,3,968
/hpl-2.2/src/comm/hpl_packl.c,138,3,484
/hpl-2.2/src/comm/hpl_packl.c,139,3,968
/hpl-2.2/src/comm/hpl_packl.c,140,3,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,4,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,4,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,4,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,4,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,4,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,4,5344
/hpl-2.2/src/pfact/hpl_pdfact.c,123,4,3968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,10,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,10,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,10,9717192
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,10,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,10,9717192
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,10,5344
/hpl-2.2/src/comm/hpl_packl.c,137,10,968
/hpl-2.2/src/comm/hpl_packl.c,138,10,484
/hpl-2.2/src/comm/hpl_packl.c,139,10,968
/hpl-2.2/src/comm/hpl_packl.c,140,10,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,9,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,9,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,9,9754632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,9,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,9,9754632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,9,5344
/hpl-2.2/src/comm/hpl_packl.c,137,9,968
/hpl-2.2/src/comm/hpl_packl.c,138,9,484
/hpl-2.2/src/comm/hpl_packl.c,139,9,968
/hpl-2.2/src/comm/hpl_packl.c,140,9,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,5,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,5,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,5,9793032
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,5,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,5,9793032
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,5,5344
/hpl-2.2/src/comm/hpl_packl.c,137,5,968
/hpl-2.2/src/comm/hpl_packl.c,138,5,484
/hpl-2.2/src/comm/hpl_packl.c,139,5,968
/hpl-2.2/src/comm/hpl_packl.c,140,5,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,6,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,6,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,6,9755592
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,6,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,6,9755592
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,6,5344
/hpl-2.2/src/comm/hpl_packl.c,137,6,968
/hpl-2.2/src/comm/hpl_packl.c,138,6,484
/hpl-2.2/src/comm/hpl_packl.c,139,6,968
/hpl-2.2/src/comm/hpl_packl.c,140,6,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,12,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,12,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,12,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,12,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,12,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,12,5344
/hpl-2.2/src/pfact/hpl_pdfact.c,123,12,3968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,11,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,11,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,11,9639432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,11,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,11,9639432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,11,5344
/hpl-2.2/src/comm/hpl_packl.c,137,11,968
/hpl-2.2/src/comm/hpl_packl.c,138,11,484
/hpl-2.2/src/comm/hpl_packl.c,139,11,968
/hpl-2.2/src/comm/hpl_packl.c,140,11,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,7,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,7,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,7,9677832
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,7,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,7,9677832
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,7,5344
/hpl-2.2/src/comm/hpl_packl.c,137,7,968
/hpl-2.2/src/comm/hpl_packl.c,138,7,484
/hpl-2.2/src/comm/hpl_packl.c,139,7,968
/hpl-2.2/src/comm/hpl_packl.c,140,7,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,13,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,13,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,13,9677832
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,13,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,13,9677832
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,13,5344
/hpl-2.2/src/comm/hpl_packl.c,137,13,968
/hpl-2.2/src/comm/hpl_packl.c,138,13,484
/hpl-2.2/src/comm/hpl_packl.c,139,13,968
/hpl-2.2/src/comm/hpl_packl.c,140,13,968
/hpl-2.2/src/comm/hpl_packl.c,137,12,968
/hpl-2.2/src/comm/hpl_packl.c,138,12,484
/hpl-2.2/src/comm/hpl_packl.c,139,12,968
/hpl-2.2/src/comm/hpl_packl.c,140,12,968
/hpl-2.2/src/comm/hpl_packl.c,137,4,968
/hpl-2.2/src/comm/hpl_packl.c,138,4,484
/hpl-2.2/src/comm/hpl_packl.c,139,4,968
/hpl-2.2/src/comm/hpl_packl.c,140,4,968
/hpl-2.2/src/comm/hpl_packl.c,137,8,968
/hpl-2.2/src/comm/hpl_packl.c,138,8,484
/hpl-2.2/src/comm/hpl_packl.c,139,8,968
/hpl-2.2/src/comm/hpl_packl.c,140,8,968
/hpl-2.2/src/comm/hpl_packl.c,137,0,968
/hpl-2.2/src/comm/hpl_packl.c,138,0,484
/hpl-2.2/src/comm/hpl_packl.c,139,0,968
/hpl-2.2/src/comm/hpl_packl.c,140,0,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,14,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,14,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,14,9640392
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,14,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,14,9640392
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,14,5344
/hpl-2.2/src/comm/hpl_packl.c,137,14,968
/hpl-2.2/src/comm/hpl_packl.c,138,14,484
/hpl-2.2/src/comm/hpl_packl.c,139,14,968
/hpl-2.2/src/comm/hpl_packl.c,140,14,968
/hpl-2.2/src/pgesv/hpl_pdgesv0.c,117,15,8
/hpl-2.2/src/panel/hpl_pdpanel_new.c,142,15,216
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,15,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,15,5344
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,15,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,15,5344
/hpl-2.2/src/comm/hpl_packl.c,137,15,968
/hpl-2.2/src/comm/hpl_packl.c,138,15,484
/hpl-2.2/src/comm/hpl_packl.c,139,15,968
/hpl-2.2/src/comm/hpl_packl.c,140,15,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,0,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,0,5344
/hpl-2.2/src/comm/hpl_packl.c,137,0,968
/hpl-2.2/src/comm/hpl_packl.c,138,0,484
/hpl-2.2/src/comm/hpl_packl.c,139,0,968
/hpl-2.2/src/comm/hpl_packl.c,140,0,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,12,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,12,5344
/hpl-2.2/src/comm/hpl_packl.c,137,12,968
/hpl-2.2/src/comm/hpl_packl.c,138,12,484
/hpl-2.2/src/comm/hpl_packl.c,139,12,968
/hpl-2.2/src/comm/hpl_packl.c,140,12,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,8,9639432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,8,5344
/hpl-2.2/src/comm/hpl_packl.c,137,8,968
/hpl-2.2/src/comm/hpl_packl.c,138,8,484
/hpl-2.2/src/comm/hpl_packl.c,139,8,968
/hpl-2.2/src/comm/hpl_packl.c,140,8,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,4,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,4,5344
/hpl-2.2/src/comm/hpl_packl.c,137,4,968
/hpl-2.2/src/comm/hpl_packl.c,138,4,484
/hpl-2.2/src/comm/hpl_packl.c,139,4,968
/hpl-2.2/src/comm/hpl_packl.c,140,4,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,3,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,3,5344
/hpl-2.2/src/comm/hpl_packl.c,137,3,968
/hpl-2.2/src/comm/hpl_packl.c,138,3,484
/hpl-2.2/src/comm/hpl_packl.c,139,3,968
/hpl-2.2/src/comm/hpl_packl.c,140,3,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,15,9562632
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,15,5344
/hpl-2.2/src/comm/hpl_packl.c,137,15,968
/hpl-2.2/src/comm/hpl_packl.c,138,15,484
/hpl-2.2/src/comm/hpl_packl.c,139,15,968
/hpl-2.2/src/comm/hpl_packl.c,140,15,968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,1,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,1,5344
/hpl-2.2/src/pfact/hpl_pdfact.c,123,1,3968
/hpl-2.2/src/panel/hpl_pdpanel_init.c,245,13,4839432
/hpl-2.2/src/panel/hpl_pdpanel_init.c,339,13,5344
