shared,size,mem_access,system_time,user_time,nb_page_faults
True,5528565656,False,0.26,0.0,89948
False,5528565656,False,0.0,0.0,57
True,5528565656,True,1.34,0.49,1439697
False,5528565656,True,2.0,0.34,1349806
True,1972740321,True,0.48,0.17,512046
False,1972740321,True,0.71,0.12,481683
True,1972740321,False,0.09,0.0,32302
False,1972740321,False,0.0,0.0,59
True,9983835683,True,2.34,0.97,2599639
True,9983835683,False,0.48,0.0,162182
False,9983835683,False,0.0,0.0,57
False,9983835683,True,3.58,0.68,2437517
False,8730555001,False,0.0,0.0,59
True,8730555001,False,0.41,0.0,141863
False,8730555001,True,3.12,0.59,2131541
True,8730555001,True,2.12,0.77,2273346
False,6278887430,False,0.0,0.0,59
False,6278887430,True,2.21,0.46,1532991
True,6278887430,True,1.51,0.57,1635046
True,6278887430,False,0.29,0.0,102115
False,5892899741,True,2.14,0.36,1438754
True,5892899741,False,0.28,0.0,95856
True,5892899741,True,1.48,0.47,1534554
False,5892899741,False,0.0,0.0,58
False,9992917451,True,3.63,0.62,2439738
True,9992917451,True,2.44,0.87,2602006
True,9992917451,False,0.47,0.0,162328
False,9992917451,False,0.0,0.0,60
True,1966458388,False,0.09,0.0,32200
False,1966458388,True,0.68,0.16,480150
False,1966458388,False,0.0,0.0,59
True,1966458388,True,0.45,0.19,512292
False,1422691315,False,0.0,0.0,58
True,1422691315,False,0.06,0.0,23384
False,1422691315,True,0.5,0.1,347396
True,1422691315,True,0.3,0.16,370720
True,7826538710,False,0.37,0.0,127205
True,7826538710,True,1.89,0.71,2037982
False,7826538710,True,2.81,0.52,1910835
False,7826538710,False,0.0,0.0,59
True,7379306290,True,1.84,0.62,1921544
True,7379306290,False,0.35,0.0,119956
False,7379306290,True,2.64,0.5,1801648
False,7379306290,False,0.0,0.0,60
True,388179406,True,0.09,0.03,101380
False,388179406,True,0.13,0.02,94829
False,388179406,False,0.0,0.0,58
True,388179406,False,0.02,0.0,6613
True,9412434668,True,2.28,0.85,2450874
False,9412434668,False,0.0,0.0,58
True,9412434668,False,0.45,0.0,152919
False,9412434668,True,3.39,0.62,2298014
False,1414307335,True,0.51,0.08,345347
True,1414307335,True,0.34,0.12,368538
False,1414307335,False,0.0,0.0,57
True,1414307335,False,0.06,0.0,23247
True,652630773,True,0.16,0.04,170232
False,652630773,True,0.26,0.01,159391
True,652630773,False,0.03,0.0,10900
False,652630773,False,0.0,0.0,60
False,841438967,False,0.0,0.0,60
True,841438967,True,0.19,0.08,219390
True,841438967,False,0.04,0.0,13961
False,841438967,True,0.28,0.07,205488
False,8004780042,False,0.0,0.0,57
True,8004780042,True,1.87,0.78,2084387
False,8004780042,True,2.88,0.51,1954352
True,8004780042,False,0.38,0.0,130093
False,5896613402,False,0.0,0.0,60
True,5896613402,False,0.28,0.0,95917
