shared,size,mem_access,system_time,user_time,nb_page_faults
False,4642096513,True,0.43,0.21,3053
True,4642096513,True,1.16,0.38,1208906
True,4642096513,False,0.2,0.0,75577
False,4642096513,False,0.0,0.0,60
False,4804700804,True,0.48,0.21,2894
True,4804700804,False,0.23,0.0,78218
True,4804700804,True,1.42,0.22,1251243
False,4804700804,False,0.0,0.0,58
False,494872881,True,0.06,0.0,796
True,494872881,False,0.02,0.0,8342
False,494872881,False,0.0,0.0,61
True,494872881,True,0.15,0.03,129161
False,9429924454,False,0.0,0.0,62
True,9429924454,False,0.44,0.0,153203
False,9429924454,True,0.91,0.44,5342
True,9429924454,True,2.53,0.66,2455431
False,7378999068,True,0.69,0.32,3873
True,7378999068,True,1.92,0.6,1921467
True,7378999068,False,0.33,0.0,119952
False,7378999068,False,0.0,0.0,61
False,6957655509,True,0.65,0.3,4228
False,6957655509,False,0.0,0.0,62
True,6957655509,True,1.81,0.55,1811766
True,6957655509,False,0.3,0.0,113121
False,7579392233,True,0.69,0.35,4256
True,7579392233,False,0.33,0.0,123200
True,7579392233,True,2.04,0.48,1973640
False,7579392233,False,0.0,0.0,59
False,471075111,True,0.04,0.02,606
True,471075111,True,0.12,0.03,122966
False,471075111,False,0.0,0.0,61
True,471075111,False,0.02,0.0,7958
True,9450813077,False,0.41,0.0,153540
True,9450813077,True,2.5,0.69,2460868
False,9450813077,False,0.0,0.0,60
False,9450813077,True,0.88,0.41,4821
False,5622942255,False,0.0,0.0,59
True,5622942255,False,0.25,0.0,91482
True,5622942255,True,1.52,0.38,1464269
False,5622942255,True,0.52,0.24,3370
False,9674405917,False,0.0,0.0,62
False,9674405917,True,0.94,0.41,5245
True,9674405917,True,2.62,0.61,2519082
True,9674405917,False,0.43,0.0,157165
False,1701895343,False,0.0,0.0,61
True,1701895343,False,0.07,0.0,27914
False,1701895343,True,0.16,0.07,1142
True,1701895343,True,0.44,0.12,443412
True,5993261783,False,0.27,0.0,97484
False,5993261783,False,0.0,0.0,62
True,5993261783,True,1.62,0.39,1560684
False,5993261783,True,0.58,0.24,3329
False,8626769140,True,0.8,0.37,4975
False,8626769140,False,0.0,0.0,58
True,8626769140,False,0.37,0.0,140181
True,8626769140,True,2.28,0.59,2246325
False,3998481022,True,0.39,0.15,2285
True,3998481022,True,1.04,0.3,1041338
False,3998481022,False,0.0,0.0,59
True,3998481022,False,0.17,0.0,65144
False,2251648475,False,0.0,0.0,61
True,2251648475,False,0.1,0.0,34677
False,2251648475,True,0.2,0.09,1476
True,2251648475,True,0.58,0.16,586545
False,3646222270,True,0.35,0.16,2645
True,3646222270,True,0.94,0.28,949623
False,3646222270,False,0.0,0.0,60
True,3646222270,False,0.16,0.0,59433
True,7940423587,True,2.16,0.55,2067632
False,7940423587,False,0.0,0.0,60
True,7940423587,False,0.34,0.0,129055
False,7940423587,True,0.76,0.38,4507
False,2819056730,True,0.27,0.12,2035
True,2819056730,False,0.12,0.0,46025
True,2819056730,True,0.84,0.15,734269
False,2819056730,False,0.0,0.0,59
False,6551233131,False,0.0,0.0,62
False,6551233131,True,0.67,0.27,4139
True,6551233131,True,1.85,0.42,1705955
True,6551233131,False,0.28,0.0,106531
False,8981241921,False,0.0,0.0,60
True,8981241921,False,0.39,0.0,145928
False,8981241921,True,0.82,0.41,5154
True,8981241921,True,2.35,0.71,2338616
True,1425902715,True,0.37,0.1,371556
False,1425902715,False,0.0,0.0,62
False,1425902715,True,0.14,0.05,1211
True,1425902715,False,0.06,0.0,23438
False,9347833552,False,0.0,0.0,60
False,9347833552,True,0.92,0.38,5232
True,9347833552,False,0.41,0.0,151872
True,9347833552,True,2.46,0.66,2425141
False,668072877,False,0.0,0.0,62
True,668072877,True,0.19,0.03,174256
True,668072877,False,0.02,0.0,11151
False,668072877,True,0.06,0.02,664
True,3530398958,True,0.96,0.24,919470
True,3530398958,False,0.15,0.0,57554
False,3530398958,False,0.0,0.0,62
False,3530398958,True,0.34,0.17,2472
False,4582031155,False,0.0,0.0,58
True,4582031155,False,0.22,0.0,74605
True,4582031155,True,1.24,0.29,1193266
False,4582031155,True,0.47,0.2,3208
False,3455314602,False,0.0,0.0,59
True,3455314602,True,1.0,0.22,899921
True,3455314602,False,0.15,0.0,56342
False,3455314602,True,0.34,0.13,2025
True,6616217185,True,1.76,0.46,1722873
False,6616217185,False,0.0,0.0,63
False,6616217185,True,0.67,0.28,3656
True,6616217185,False,0.29,0.0,107584
False,4629825023,True,0.43,0.21,2612
True,4629825023,True,1.28,0.28,1205709
False,4629825023,False,0.0,0.0,60
True,4629825023,False,0.2,0.0,75379
True,6083886828,True,1.7,0.36,1584277
True,6083886828,False,0.26,0.0,98955
False,6083886828,True,0.6,0.26,3483
False,6083886828,False,0.0,0.0,61
True,3748006048,False,0.16,0.0,61082
False,3748006048,False,0.0,0.0,59
False,3748006048,True,0.33,0.19,2454
True,3748006048,True,1.07,0.19,976126
True,4405126087,False,0.2,0.0,71737
False,4405126087,False,0.0,0.0,60
False,4405126087,True,0.5,0.17,2434
True,4405126087,True,1.17,0.32,1147210
False,6503435286,True,0.65,0.3,3201
True,6503435286,True,1.78,0.4,1687306
True,6503435286,False,0.28,0.0,105755
False,6503435286,False,0.0,0.0,61
True,8831310991,False,0.38,0.0,143495
False,8831310991,False,0.0,0.0,62
False,8831310991,True,0.85,0.35,4832
True,8831310991,True,2.4,0.58,2299581
True,6307012477,True,1.69,0.41,1642370
False,6307012477,True,0.59,0.26,3793
True,6307012477,False,0.28,0.0,102572
False,6307012477,False,0.0,0.0,62
False,5714839195,True,0.59,0.28,3321
True,5714839195,True,1.56,0.37,1488200
True,5714839195,False,0.24,0.0,87521
False,5714839195,False,0.0,0.0,60
False,835321726,False,0.0,0.0,59
False,835321726,True,0.08,0.03,618
True,835321726,True,0.22,0.06,217798
True,835321726,False,0.04,0.0,13864
True,7543278782,False,0.33,0.0,115422
False,7543278782,True,0.72,0.31,4125
False,7543278782,False,0.0,0.0,61
True,7543278782,True,2.02,0.48,1964236
False,5348592105,False,0.0,0.0,63
False,5348592105,True,0.5,0.23,3330
True,5348592105,True,1.44,0.35,1392843
True,5348592105,False,0.23,0.0,87035
False,7742637811,False,0.0,0.0,62
True,7742637811,True,2.14,0.47,2016141
False,7742637811,True,0.7,0.36,4253
True,7742637811,False,0.34,0.0,125845
False,2414367654,True,0.24,0.08,1856
False,2414367654,False,0.0,0.0,61
True,2414367654,False,0.11,0.0,39462
True,2414367654,True,0.62,0.18,628909
True,9574932844,False,0.42,0.0,146424
False,9574932844,False,0.0,0.0,64
True,9574932844,True,2.5,0.69,2493183
False,9574932844,True,0.87,0.42,4978
False,9370891957,True,0.92,0.37,4728
False,9370891957,False,0.0,0.0,61
True,9370891957,True,2.5,0.64,2440061
True,9370891957,False,0.41,0.0,152244
True,1066280808,True,0.28,0.08,277932
True,1066280808,False,0.04,0.0,17606
False,1066280808,False,0.0,0.0,62
False,1066280808,True,0.09,0.05,1306
True,9551482603,False,0.41,0.0,155172
True,9551482603,True,2.58,0.6,2487076
False,9551482603,False,0.0,0.0,61
False,9551482603,True,0.91,0.38,4872
True,3851633231,False,0.17,0.0,62764
True,3851633231,True,1.0,0.27,1003105
False,3851633231,True,0.36,0.16,2208
False,3851633231,False,0.0,0.0,58
True,9874123818,False,0.43,0.0,160402
False,9874123818,False,0.0,0.0,61
True,9874123818,True,2.6,0.69,2561663
False,9874123818,True,0.91,0.45,5459
False,7594704939,False,0.0,0.0,61
True,7594704939,False,0.33,0.0,123450
True,7594704939,True,2.03,0.5,1977627
False,7594704939,True,0.77,0.27,3904
False,1459394990,True,0.14,0.05,1214
True,1459394990,True,0.38,0.1,380279
False,1459394990,False,0.0,0.0,60
True,1459394990,False,0.06,0.0,23980
False,963618840,False,0.0,0.0,59
True,963618840,True,0.24,0.07,251200
True,963618840,False,0.04,0.0,15942
False,963618840,True,0.09,0.03,770
True,899533934,True,0.24,0.06,234518
False,899533934,True,0.07,0.04,964
True,899533934,False,0.04,0.0,14903
False,899533934,False,0.0,0.0,60
False,8970302153,True,0.85,0.38,4529
True,8970302153,False,0.39,0.0,145751
False,8970302153,False,0.0,0.0,62
True,8970302153,True,2.46,0.54,2335766
True,6684939286,False,0.3,0.0,108699
False,6684939286,True,0.62,0.29,3569
False,6684939286,False,0.0,0.0,62
True,6684939286,True,1.77,0.47,1740768
False,5763910504,False,0.0,0.0,61
False,5763910504,True,0.58,0.23,3038
True,5763910504,True,1.58,0.38,1495475
True,5763910504,False,0.25,0.0,93765
False,1353420520,True,0.13,0.06,1403
False,1353420520,False,0.0,0.0,60
True,1353420520,False,0.06,0.0,22259
True,1353420520,True,0.38,0.08,352686
False,3145417232,True,0.33,0.11,1996
True,3145417232,True,0.85,0.2,816243
True,3145417232,False,0.14,0.0,51313
False,3145417232,False,0.0,0.0,59
False,8980122593,True,0.84,0.4,4880
True,8980122593,True,2.5,0.62,2338321
False,8980122593,False,0.0,0.0,58
True,8980122593,False,0.39,0.0,145908
True,7888009568,False,0.37,0.0,128203
True,7888009568,True,2.12,0.54,2053988
False,7888009568,True,0.72,0.34,4488
False,7888009568,False,0.0,0.0,61
True,9993284894,True,2.71,0.63,2602103
False,9993284894,True,0.96,0.42,5424
False,9993284894,False,0.0,0.0,62
True,9993284894,False,0.44,0.0,162336
True,8447500063,True,2.24,0.58,2199653
True,8447500063,False,0.37,0.0,137272
False,8447500063,False,0.0,0.0,60
False,8447500063,True,0.79,0.36,4641
True,69179379,False,0.0,0.0,1439
False,69179379,False,0.0,0.0,60
True,69179379,True,0.02,0.0,18332
False,69179379,True,0.0,0.0,596
True,6357173803,True,1.74,0.44,1655428
True,6357173803,False,0.31,0.0,103384
False,6357173803,False,0.0,0.0,60
False,6357173803,True,0.64,0.31,3774
False,3385104279,True,0.34,0.18,2259
False,3385104279,False,0.0,0.0,59
True,3385104279,True,0.94,0.2,881641
True,3385104279,False,0.14,0.0,55201
False,6385645394,True,0.64,0.26,3573
False,6385645394,False,0.0,0.0,61
True,6385645394,False,0.28,0.0,103846
True,6385645394,True,1.75,0.4,1656751
True,2490748097,True,0.7,0.14,648795
True,2490748097,False,0.1,0.0,40699
False,2490748097,False,0.0,0.0,59
False,2490748097,True,0.24,0.09,2108
True,594781679,True,0.15,0.04,155174
False,594781679,False,0.0,0.0,61
False,594781679,True,0.07,0.02,656
True,594781679,False,0.02,0.0,9963
True,448381590,True,0.12,0.03,117058
False,448381590,True,0.04,0.01,1199
False,448381590,False,0.0,0.0,60
True,448381590,False,0.02,0.0,7162
False,6238857026,False,0.0,0.0,61
True,6238857026,True,1.65,0.44,1624628
True,6238857026,False,0.26,0.0,101465
False,6238857026,True,0.57,0.26,3504
True,123387669,True,0.03,0.01,32445
False,123387669,False,0.0,0.0,61
True,123387669,False,0.0,0.0,2320
False,123387669,True,0.0,0.01,1055
True,645546360,True,0.16,0.04,168392
False,645546360,True,0.06,0.02,1300
True,645546360,False,0.02,0.0,10784
False,645546360,False,0.0,0.0,58
True,8633178402,False,0.39,0.0,140284
False,8633178402,True,0.83,0.36,4494
False,8633178402,False,0.0,0.0,60
True,8633178402,True,2.3,0.57,2247996
True,7096762940,True,1.88,0.48,1847984
False,7096762940,True,0.68,0.28,3958
False,7096762940,False,0.0,0.0,59
True,7096762940,False,0.31,0.0,115374
True,4723769455,True,1.21,0.37,1230168
False,4723769455,False,0.0,0.0,61
True,4723769455,False,0.2,0.0,76904
False,4723769455,True,0.45,0.19,2550
True,3831214844,True,1.0,0.27,997788
True,3831214844,False,0.16,0.0,62432
