shared,size,mem_access,system_time,user_time,nb_page_faults
False,4601230797,True,0.37,0.18,2785
True,4601230797,False,0.16,0.0,74916
True,4601230797,True,0.99,0.26,1198265
False,4601230797,False,0.0,0.0,60
False,9491592478,False,0.0,0.0,60
True,9491592478,True,2.04,0.55,2471486
False,9491592478,True,3.0,0.32,822670
True,9491592478,False,0.34,0.0,154201
True,7535787066,True,1.68,0.36,1962284
False,7535787066,False,0.0,0.0,61
True,7535787066,False,0.27,0.0,122491
False,7535787066,True,1.48,0.32,345177
True,1879512930,True,0.4,0.1,489659
False,1879512930,True,0.15,0.07,1067
True,1879512930,False,0.06,0.0,30790
False,1879512930,False,0.0,0.0,62
False,9503117381,False,0.0,0.0,61
True,9503117381,False,0.34,0.0,154389
True,9503117381,True,2.07,0.52,2474486
False,9503117381,True,2.94,0.38,825483
True,2957818405,False,0.1,0.0,48274
False,2957818405,True,0.24,0.1,2183
True,2957818405,True,0.63,0.17,770399
False,2957818405,False,0.0,0.0,59
False,8639704415,True,2.35,0.31,614687
True,8639704415,False,0.31,0.0,140389
True,8639704415,True,1.93,0.41,2249694
False,8639704415,False,0.0,0.0,62
True,5114075991,True,1.13,0.27,1331787
False,5114075991,True,0.41,0.18,2798
False,5114075991,False,0.0,0.0,60
True,5114075991,False,0.18,0.0,83230
True,5716338394,True,1.24,0.32,1488586
False,5716338394,True,0.43,0.23,3687
True,5716338394,False,0.2,0.0,92995
False,5716338394,False,0.0,0.0,60
True,546709835,True,0.12,0.03,142658
True,546709835,False,0.02,0.0,9186
False,546709835,True,0.04,0.02,1184
False,546709835,False,0.0,0.0,58
False,1181259537,False,0.0,0.0,60
False,1181259537,True,0.09,0.04,1275
True,1181259537,True,0.23,0.08,307865
True,1181259537,False,0.04,0.0,19469
True,5253018687,True,1.1,0.32,1367959
False,5253018687,True,0.45,0.17,3502
False,5253018687,False,0.0,0.0,62
True,5253018687,False,0.18,0.0,85482
False,6849138132,False,0.0,0.0,60
False,6849138132,True,1.05,0.23,177537
True,6849138132,True,1.52,0.35,1783512
True,6849138132,False,0.24,0.0,111361
False,6691516268,False,0.0,0.0,61
False,6691516268,True,0.9,0.24,139054
True,6691516268,False,0.24,0.0,108805
True,6691516268,True,1.45,0.36,1742477
True,6548855474,False,0.23,0.0,106491
False,6548855474,True,0.8,0.24,104228
True,6548855474,True,1.43,0.35,1705334
False,6548855474,False,0.0,0.0,62
False,1446235444,True,0.12,0.04,1066
True,1446235444,True,0.29,0.1,376854
True,1446235444,False,0.05,0.0,23765
False,1446235444,False,0.0,0.0,62
True,3666620323,True,0.84,0.15,954933
False,3666620323,True,0.29,0.13,2514
True,3666620323,False,0.13,0.0,59764
False,3666620323,False,0.0,0.0,61
False,13954925,True,0.0,0.0,400
False,13954925,False,0.0,0.0,60
True,13954925,False,0.0,0.0,545
True,13954925,True,0.0,0.0,3952
True,9222451508,True,2.09,0.41,2401416
False,9222451508,False,0.0,0.0,60
False,9222451508,True,2.7,0.34,756964
True,9222451508,False,0.33,0.0,149839
True,3023247560,True,0.65,0.18,787433
False,3023247560,True,0.24,0.1,1808
False,3023247560,False,0.0,0.0,61
True,3023247560,False,0.1,0.0,49333
True,9724219338,True,2.2,0.44,2532048
False,9724219338,True,3.1,0.35,879463
False,9724219338,False,0.0,0.0,62
True,9724219338,False,0.34,0.0,157971
True,9018643440,True,1.94,0.51,2348350
False,9018643440,True,2.57,0.32,707203
False,9018643440,False,0.0,0.0,61
True,9018643440,False,0.32,0.0,146534
False,6130971173,True,0.52,0.2,3736
True,6130971173,True,1.33,0.34,1596536
False,6130971173,False,0.0,0.0,60
True,6130971173,False,0.21,0.0,99717
True,3065719576,True,0.65,0.18,798489
False,3065719576,False,0.0,0.0,60
False,3065719576,True,0.23,0.12,1954
True,3065719576,False,0.1,0.0,47099
True,1457529096,True,0.3,0.1,379793
False,1457529096,False,0.0,0.0,60
True,1457529096,False,0.05,0.0,23953
False,1457529096,True,0.12,0.04,1268
True,7075355203,True,1.56,0.36,1842411
False,7075355203,False,0.0,0.0,61
True,7075355203,False,0.25,0.0,115028
False,7075355203,True,1.21,0.23,232764
False,6544937422,False,0.0,0.0,60
False,6544937422,True,0.81,0.23,103268
True,6544937422,False,0.23,0.0,106429
True,6544937422,True,1.45,0.34,1704316
False,8313360990,False,0.0,0.0,61
True,8313360990,False,0.3,0.0,135098
True,8313360990,True,1.74,0.52,2164731
False,8313360990,True,2.07,0.34,535017
True,8252932950,False,0.29,0.0,134121
True,8252932950,True,1.77,0.47,2148999
False,8252932950,False,0.0,0.0,59
False,8252932950,True,2.04,0.32,520263
True,2665139926,True,0.57,0.15,694197
False,2665139926,False,0.0,0.0,60
True,2665139926,False,0.09,0.0,43527
False,2665139926,True,0.22,0.09,1758
True,4065080515,True,0.9,0.21,1058675
False,4065080515,False,0.0,0.0,61
False,4065080515,True,0.33,0.14,2705
True,4065080515,False,0.14,0.0,66227
False,4517538222,False,0.0,0.0,63
False,4517538222,True,0.36,0.16,2793
True,4517538222,True,0.99,0.24,1176474
True,4517538222,False,0.16,0.0,73561
False,8636979450,False,0.0,0.0,62
False,8636979450,True,2.4,0.27,614023
True,8636979450,True,1.94,0.42,2248987
True,8636979450,False,0.31,0.0,140344
True,2027326022,False,0.07,0.0,33186
False,2027326022,True,0.16,0.06,1899
True,2027326022,True,0.41,0.13,528142
False,2027326022,False,0.0,0.0,59
False,9992019713,True,3.28,0.35,944843
False,9992019713,False,0.0,0.0,60
True,9992019713,True,2.23,0.52,2601773
True,9992019713,False,0.36,0.0,162317
False,7665111479,False,0.0,0.0,61
False,7665111479,True,1.62,0.28,376753
True,7665111479,False,0.27,0.0,124588
True,7665111479,True,1.76,0.34,1995957
False,5808018729,False,0.0,0.0,62
True,5808018729,True,1.25,0.34,1512456
True,5808018729,False,0.21,0.0,94481
False,5808018729,True,0.5,0.2,3075
