shared,size,mem_access,system_time,user_time,nb_page_faults
False,397245540,True,0.15,0.01,97042
True,397245540,True,0.06,0.04,103742
True,397245540,False,0.01,0.0,6757
False,397245540,False,0.0,0.0,58
False,6666851079,True,2.44,0.38,1627706
True,6666851079,False,0.29,0.0,108405
True,6666851079,True,1.74,0.5,1736055
False,6666851079,False,0.0,0.0,60
True,4413530347,False,0.19,0.0,71870
False,4413530347,False,0.0,0.0,56
True,4413530347,True,0.87,0.32,1149397
False,4413530347,True,1.66,0.2,1077581
True,1796599533,True,0.34,0.12,468068
False,1796599533,True,0.64,0.11,438681
True,1796599533,False,0.07,0.0,29444
False,1796599533,False,0.0,0.0,60
False,5419991751,False,0.0,0.0,57
False,5419991751,True,1.97,0.32,1323298
True,5419991751,True,1.22,0.44,1411430
True,5419991751,False,0.23,0.0,88188
False,7814051175,True,2.94,0.38,1907786
True,7814051175,False,0.34,0.0,127497
False,7814051175,False,0.0,0.0,60
True,7814051175,True,2.2,0.56,2034730
False,9207269834,False,0.0,0.0,60
True,9207269834,False,0.39,0.0,149589
True,9207269834,True,3.65,0.66,2397459
False,9207269834,True,3.36,0.56,2247927
False,7737420211,True,2.84,0.44,1889077
True,7737420211,False,0.34,0.0,125758
True,7737420211,True,2.14,0.58,2014782
False,7737420211,False,0.0,0.0,58
False,1792408983,True,0.66,0.1,437658
True,1792408983,False,0.08,0.0,29378
False,1792408983,False,0.0,0.0,57
True,1792408983,True,0.34,0.13,466979
False,6293892104,True,2.38,0.27,1536651
True,6293892104,True,1.66,0.42,1638952
False,6293892104,False,0.0,0.0,57
True,6293892104,False,0.27,0.0,102359
False,5643155730,True,2.09,0.29,1377782
True,5643155730,False,0.24,0.0,91805
False,5643155730,False,0.0,0.0,57
True,5643155730,True,1.36,0.41,1470024
False,4903776688,False,0.0,0.0,56
True,4903776688,False,0.21,0.0,79818
True,4903776688,True,1.06,0.36,1277035
False,4903776688,True,1.78,0.3,1197269
False,3549053294,False,0.0,0.0,58
True,3549053294,True,0.65,0.28,920939
False,3549053294,True,1.31,0.2,866525
True,3549053294,False,0.15,0.0,57858
False,8942054006,True,3.34,0.48,2183176
False,8942054006,False,0.0,0.0,60
True,8942054006,False,0.38,0.0,145291
True,8942054006,True,2.74,0.59,2328410
False,382384793,True,0.14,0.02,93412
True,382384793,False,0.01,0.0,6519
True,382384793,True,0.05,0.04,99872
False,382384793,False,0.0,0.0,57
True,4725913315,False,0.2,0.0,76936
False,4725913315,False,0.0,0.0,57
False,4725913315,True,1.74,0.26,1153845
True,4725913315,True,0.95,0.39,1230723
True,1276655850,False,0.05,0.0,21014
False,1276655850,False,0.0,0.0,59
True,1276655850,True,0.28,0.05,332699
False,1276655850,True,0.45,0.08,311740
True,5287357372,False,0.23,0.0,86039
True,5287357372,True,1.26,0.34,1376898
False,5287357372,False,0.0,0.0,57
False,5287357372,True,1.97,0.27,1290916
False,6268997829,True,2.3,0.35,1530573
True,6268997829,False,0.26,0.0,101953
False,6268997829,False,0.0,0.0,60
True,6268997829,True,2.25,0.58,1632474
True,3188603244,False,0.14,0.0,52012
False,3188603244,True,1.18,0.15,778525
False,3188603244,False,0.0,0.0,58
True,3188603244,True,0.62,0.23,830480
False,5309584706,True,2.0,0.26,1296344
False,5309584706,False,0.0,0.0,57
True,5309584706,True,1.22,0.38,1382687
True,5309584706,False,0.23,0.0,86400
True,8861018597,True,2.74,0.55,2307314
True,8861018597,False,0.38,0.0,143976
False,8861018597,False,0.0,0.0,58
False,8861018597,True,3.28,0.48,2163393
True,4398699662,False,0.19,0.0,71632
False,4398699662,False,0.0,0.0,59
True,4398699662,True,0.83,0.36,1145533
False,4398699662,True,1.63,0.23,1073959
True,3330642181,False,0.14,0.0,54316
False,3330642181,True,1.22,0.19,813204
False,3330642181,False,0.0,0.0,58
True,3330642181,True,0.62,0.26,867460
True,8593238314,True,2.64,0.51,2237594
True,8593238314,False,0.36,0.0,139636
False,8593238314,False,0.0,0.0,59
False,8593238314,True,3.16,0.5,2098014
False,2019959094,True,0.75,0.1,493211
True,2019959094,False,0.08,0.0,33067
False,2019959094,False,0.0,0.0,58
True,2019959094,True,0.39,0.14,526224
False,3054365493,False,0.0,0.0,58
False,3054365493,True,1.09,0.2,745752
True,3054365493,False,0.13,0.0,49838
True,3054365493,True,0.59,0.21,795529
True,7595799299,True,2.17,0.51,1977909
True,7595799299,False,0.33,0.0,123462
False,7595799299,True,2.78,0.43,1854503
False,7595799299,False,0.0,0.0,59
False,4856680405,True,1.79,0.27,1185771
False,4856680405,False,0.0,0.0,59
True,4856680405,False,0.21,0.0,79058
True,4856680405,True,1.05,0.35,1264769
